"Id","Year","Author","Group"
"RN168",2018,"Barron, Alexander TJ","Affiliate"
"RN168",2018,"Huang, J.","Collaborator"
"RN168",2018,"Spang, R. L.","Collaborator"
"RN168",2018,"DeDeo, S.","Collaborator"
"RN164",2018,"Börner, Katy","Faculty"
"RN164",2018,"Rouse, William B","Collaborator"
"RN164",2018,"Trunfio, Paul","Collaborator"
"RN164",2018,"Stanley, H Eugene","Collaborator"
"RN166",2018,"Cohen, A. M.","Collaborator"
"RN166",2018,"Dunivin, Zackary Okun","Fellow"
"RN166",2018,"Smalheiser, N. R.","Collaborator"
"RN167",2018,"Correia, Rion Brattig","Affiliate"
"RN167",2018,"Gates, Alexander J","Collaborator"
"RN167",2018,"Wang, Xuan","Fellow"
"RN167",2018,"Rocha, Luis M","Faculty"
"RN165",2018,"Shao, Chengcheng","Collaborator"
"RN165",2018,"Ciampaglia, Giovanni Luca","Collaborator"
"RN165",2018,"Varol, Onur","Collaborator"
"RN165",2018,"Yang, Kai-Cheng","Affiliate"
"RN165",2018,"Flammini, Alessandro","Faculty"
"RN165",2018,"Menczer, Filippo","Faculty"
"RN223",2018,"Zoss, Angela","Collaborator"
"RN223",2018,"Maltese, Adam","Collaborator"
"RN223",2018,"Uzzo, Stephen Miles","Collaborator"
"RN223",2018,"Börner, Katy","Faculty"
"RN160",2019,"Börner, Katy","Faculty"
"RN160",2019,"Bueckle, Andreas","Collaborator"
"RN160",2019,"Ginda, Michael","Collaborator"
"RN162",2019,"Börner, Katy","Faculty"
"RN162",2019,"Milojević, Staša","Faculty"
"RN159",2019,"Correia, Rion Brattig","Affiliate"
"RN159",2019,"de Araújo Kohler, Luciana P","Collaborator"
"RN159",2019,"Mattos, Mauro M","Collaborator"
"RN159",2019,"Rocha, Luis M","Faculty"
"RN163",2019,"Faber, Samantha P","Affiliate"
"RN163",2019,"Timme, Nicholas M","Collaborator"
"RN163",2019,"Beggs, John M","Faculty"
"RN163",2019,"Newman, Ehren L","Faculty"
"RN157",2019,"McClinton, K. E.","Fellow"
"RN161",2019,"Metzcar, John","Fellow"
"RN161",2019,"Wang, Y. F.","Collaborator"
"RN161",2019,"Heiland, R.","Collaborator"
"RN161",2019,"Macklin, Paul","Faculty"
"RN156",2019,"Perry, Brea L","Faculty"
"RN156",2019,"Yang, Kai-Cheng","Affiliate"
"RN156",2019,"Kaminski, Patrick","Fellow"
"RN156",2019,"Odabas, M.","Collaborator"
"RN156",2019,"Park, J.","Collaborator"
"RN156",2019,"Martel, M.","Collaborator"
"RN156",2019,"Oser, C. B.","Collaborator"
"RN156",2019,"Freeman, P. R.","Collaborator"
"RN156",2019,"Ahn, Yong-Yeol","Faculty"
"RN156",2019,"Talbert, J.","Collaborator"
"RN158",2019,"Yan, Harry Yaojun","Fellow"
"RN221",2020,"Benson, Lauren V","Fellow"
"RN221",2020,"Candadai, Madhavun","Affiliate"
"RN221",2020,"Izquierdo, Eduardo J","Faculty"
"RN146",2020,"Candadai, Madhavun","Affiliate"
"RN146",2020,"Izquierdo, Eduardo J","Faculty"
"RN155",2020,"Correia, Rion Brattig","Affiliate"
"RN155",2020,"Wood, Ian B","Collaborator"
"RN155",2020,"Bollen, Johan","Faculty"
"RN155",2020,"Rocha, Luis M","Faculty"
