"Id","Year","Author","Group"
"RN147",2020,"Dunivin, Zackary Okun","Fellow"
"RN147",2020,"Zadunayski, L.","Collaborator"
"RN147",2020,"Baskota, U.","Collaborator"
"RN147",2020,"Siek, K.","Collaborator"
"RN147",2020,"Mankoff, J.","Collaborator"
"RN257",2020,"Galis, Zorina S","Collaborator"
"RN257",2020,"Herr, Bruce W","Collaborator"
"RN257",2020,"Daptardar, Santoshmurti S","Collaborator"
"RN257",2020,"Sydykanova, Medina","Collaborator"
"RN257",2020,"Börner, Katy","Faculty"
"RN171",2020,"Luthra, Mahi","Affiliate"
"RN171",2020,"Izquierdo, Eduardo J","Faculty"
"RN171",2020,"Todd, Peter M","Collaborator"
"RN4",2020,"Paolillo, John","Faculty"
"RN4",2020,"Harper, Brian","Collaborator"
"RN4",2020,"Boothby, Clara","Collaborator"
"RN4",2020,"Axelrod, David","Fellow"
"RN153",2020,"Safron, Adam","Collaborator"
"RN153",2020,"Sylva, D.","Collaborator"
"RN153",2020,"Klimaj, Victoria","Fellow"
"RN153",2020,"Rosenthal, A. M.","Collaborator"
"RN153",2020,"Bailey, J. M.","Collaborator"
"RN149",2020,"Sherrill, Samantha P","Collaborator"
"RN149",2020,"Timme, Nicholas M","Collaborator"
"RN149",2020,"Beggs, John M","Faculty"
"RN149",2020,"Newman, Ehren L","Faculty"
"RN145",2020,"Varley, Thomas F","Fellow"
"RN145",2020,"Carhart-Harris, Robin","Collaborator"
"RN145",2020,"Roseman, Leor","Collaborator"
"RN145",2020,"Menon, David K","Collaborator"
"RN145",2020,"Stamatakis, Emmanuel A","Collaborator"
"RN151",2020,"Varley, Thomas F","Fellow"
"RN151",2020,"Craig, Michael","Collaborator"
"RN151",2020,"Adapa, Ram","Collaborator"
"RN151",2020,"Finoia, Paola","Collaborator"
"RN151",2020,"Williams, Guy","Collaborator"
"RN151",2020,"Allanson, Judith","Collaborator"
"RN151",2020,"Pickard, John","Collaborator"
"RN151",2020,"Menon, David K","Collaborator"
"RN151",2020,"Stamatakis, Emmanuel A","Collaborator"
"RN154",2020,"Varley, Thomas F","Fellow"
"RN154",2020,"Luppi, Andrea I","Collaborator"
"RN154",2020,"Pappas, Ioannis","Collaborator"
"RN154",2020,"Naci, Lorina","Collaborator"
"RN154",2020,"Adapa, Ram","Collaborator"
"RN154",2020,"Owen, Adrian M","Collaborator"
"RN154",2020,"Menon, David K","Collaborator"
"RN154",2020,"Stamatakis, Emmanuel A","Collaborator"
"RN144",2020,"Varley, Thomas F","Fellow"
"RN144",2020,"Sporns, Olaf","Faculty"
"RN144",2020,"Puce, Aina","Faculty"
"RN144",2020,"Beggs, John M","Faculty"
"RN152",2020,"Wu, H. Y.","Collaborator"
"RN152",2020,"Shendre, A.","Collaborator"
"RN152",2020,"Zhang, S. J.","Collaborator"
"RN152",2020,"Zhang, P. Y.","Collaborator"
"RN152",2020,"Wang, L.","Collaborator"
"RN152",2020,"Zeruesenay, D.","Collaborator"
"RN152",2020,"Rocha, Luis M","Faculty"
"RN152",2020,"Shatkay, H.","Collaborator"
"RN152",2020,"Quinney, S. K.","Collaborator"
"RN152",2020,"Ning, X.","Collaborator"
"RN152",2020,"Li, L.","Collaborator"
"RN141",2021,"Bailey, R. L.","Collaborator"
"RN141",2021,"Read, G. L.","Collaborator"
"RN141",2021,"Yan, Harry Yaojun","Fellow"
"RN141",2021,"Liu, J. W.","Collaborator"
"RN141",2021,"Makin, D. A.","Collaborator"
"RN141",2021,"Willits, D.","Collaborator"
"RN253",2021,"Börner, Katy","Faculty"
"RN134",2021,"Börner, Katy","Faculty"
"RN134",2021,"Silva, Filipi Nascimento","Collaborator"
"RN134",2021,"Milojević, Staša","Faculty"
"RN254",2021,"DeVerna, Matthew R","Collaborator"
"RN254",2021,"Pierri, Francesco","Collaborator"
"RN254",2021,"Truong, Bao Tran","Fellow"
"RN254",2021,"Bollenbacher, John","Collaborator"
"RN254",2021,"Axelrod, David","Fellow"
"RN254",2021,"Loynes, Niklas","Collaborator"
"RN254",2021,"Torres-Lugo, Christopher","Collaborator"
"RN254",2021,"Yang, Kai-Cheng","Affiliate"
"RN254",2021,"Menczer, Filippo","Faculty"
"RN254",2021,"Bryden, John","Collaborator"
"RN2",2021,"Duggan, Ben","Collaborator"
"RN2",2021,"Metzcar, John","Fellow"
"RN2",2021,"Macklin, Paul","Faculty"
"RN140",2021,"Gates, Alexander J","Collaborator"
"RN140",2021,"Correia, Rion Brattig","Affiliate"
"RN140",2021,"Wang, Xuan","Fellow"
"RN140",2021,"Rocha, Luis M","Faculty"
"RN142",2021,"Min, Aehong","Affiliate"
"RN205",2021,"Min, Aehong","Affiliate"
"RN205",2021,"Miller, Wendy R","Collaborator"
"RN205",2021,"Rocha, Luis M","Faculty"
"RN205",2021,"Börner, Katy","Faculty"
"RN205",2021,"Correia, Rion Brattig","Affiliate"
"RN205",2021,"Shih, Patrick C","Collaborator"
"RN235",2021,"Pacheco, Diogo","Collaborator"
"RN235",2021,"Hui, Pik-Mai","Collaborator"
"RN235",2021,"Torres-Lugo, Christopher","Collaborator"
"RN235",2021,"Truong, Bao Tran","Fellow"
"RN235",2021,"Flammini, Alessandro","Faculty"
"RN235",2021,"Menczer, Filippo","Faculty"
"RN133",2021,"Pope, Maria","Fellow"
"RN133",2021,"Fukushima, Makoto","Collaborator"
"RN133",2021,"Betzel, Richard F","Faculty"
"RN133",2021,"Sporns, Olaf","Faculty"
"RN135",2021,"Rocha, H. L.","Collaborator"
"RN135",2021,"Godet, I.","Collaborator"
"RN135",2021,"Kurtoglu, F.","Collaborator"
"RN135",2021,"Metzcar, John","Fellow"
"RN135",2021,"Konstantinopoulos, K.","Collaborator"
"RN135",2021,"Bhoyar, S.","Collaborator"
"RN135",2021,"Gilkes, D. M.","Collaborator"
"RN135",2021,"Macklin, Paul","Faculty"
"RN172",2021,"Scrivner, Olga","Collaborator"
"RN172",2021,"Trochim, William","Collaborator"
"RN172",2021,"Börner, Katy","Faculty"
"RN169",2021,"Simas, Tiago","Collaborator"
"RN169",2021,"Correia, Rion Brattig","Affiliate"
"RN169",2021,"Rocha, Luis M","Faculty"
"RN137",2021,"Varley, Thomas F","Fellow"
"RN137",2021,"Denny, Vanessa","Collaborator"
"RN137",2021,"Sporns, Olaf","Faculty"
"RN137",2021,"Patania, Alice","Collaborator"
"RN136",2021,"Waldman, Kurt B","Collaborator"
"RN136",2021,"Giroux, Stacey A.","Collaborator"
"RN136",2021,"Farmer, J. R.","Collaborator"
"RN136",2021,"Heaberlin, Bradi M","Fellow"
"RN136",2021,"Blekking, Jordan","Collaborator"
"RN136",2021,"Todd, Peter M","Collaborator"
"RN148",2021,"Yan, Harry Yaojun","Fellow"
"RN148",2021,"Yang, Kai-Cheng","Affiliate"
"RN148",2021,"Menczer, Filippo","Faculty"
"RN148",2021,"Shanahan, James","Faculty"
"RN143",2021,"Yang, Kai-Cheng","Affiliate"
"RN143",2021,"Pierri, Francesco","Collaborator"
"RN143",2021,"Hui, Pik-Mai","Collaborator"
"RN143",2021,"Axelrod, David","Fellow"
"RN143",2021,"Torres-Lugo, Christopher","Collaborator"
"RN143",2021,"Bryden, John","Collaborator"
"RN143",2021,"Menczer, Filippo","Faculty"
"RN6",2021,"Zhang, Larry","Fellow"
"RN6",2021,"Ngo, Anthony","Collaborator"
"RN6",2021,"Thomas, Jason A","Collaborator"
"RN6",2021,"Burkhardt, Hannah A","Collaborator"
"RN6",2021,"Parsey, Carolyn M","Collaborator"
"RN6",2021,"Au, Rhoda","Collaborator"
"RN6",2021,"Ghomi, Reza Hosseini","Collaborator"
"RN139",2021,"Zhou, Y. Y.","Collaborator"
"RN139",2021,"Liu, T.","Collaborator"
"RN139",2021,"Yan, Harry Yaojun","Fellow"
"RN139",2021,"Paul, B.","Collaborator"
"RN121",2022,"Barron, Alexander TJ","Affiliate"
"RN121",2022,"Bollen, Johan","Faculty"
"RN128",2022,"Chumin, Evgeny J","Collaborator"
"RN128",2022,"Faskowitz, Joshua","Collaborator"
"RN128",2022,"Esfahlani, Farnaz Zamani","Collaborator"
"RN128",2022,"Jo, Youngheun","Collaborator"
"RN128",2022,"Merritt, Haily","Fellow"
"RN128",2022,"Tanner, Jacob C","Fellow"
"RN128",2022,"Cutts, Sarah A","Collaborator"
"RN128",2022,"Pope, Maria","Fellow"
"RN128",2022,"Betzel, Richard F","Faculty"
"RN128",2022,"Sporns, Olaf","Faculty"
"RN127",2022,"Dunivin, Zackary Okun","Fellow"
"RN127",2022,"Yan, Harry Yaojun","Fellow"
"RN127",2022,"Ince, Jelani","Collaborator"
"RN127",2022,"Rojas, Fabio","Faculty"
"RN234",2022,"Edinger, Andy","Fellow"
"RN234",2022,"Goldstone, Robert","Faculty"
"RN207",2022,"Izquierdo, Eduardo J","Faculty"
"RN207",2022,"Severino, Gabriel J","Collaborator"
"RN207",2022,"Merritt, Haily","Fellow"
"RN131",2022,"Knies, A.","Collaborator"
"RN131",2022,"Lorca, J.","Collaborator"
"RN131",2022,"Melo, Emerson","Faculty"
"RN130",2022,"Manicka, Santosh","Collaborator"
"RN130",2022,"Marques-Pita, Manuel","Collaborator"
"RN130",2022,"Rocha, Luis M","Faculty"
"RN123",2022,"Newman, Ehren L","Faculty"
"RN123",2022,"Varley, Thomas F","Fellow"
"RN123",2022,"Parakkattu, Vibin K","Collaborator"
"RN123",2022,"Sherrill, Samantha P","Collaborator"
"RN123",2022,"Beggs, John M","Faculty"
"RN126",2022,"Notarmuzi, Daniele","Collaborator"
"RN126",2022,"Castellano, Claudio","Collaborator"
"RN126",2022,"Flammini, Alessandro","Faculty"
"RN126",2022,"Mazzilli, Dario","Collaborator"
"RN126",2022,"Radicchi, Filippo","Faculty"
"RN138",2022,"Read, G. L.","Collaborator"
"RN138",2022,"Yan, Harry Yaojun","Fellow"
"RN138",2022,"Anderson, P. B.","Collaborator"
"RN138",2022,"Partain, L. P. B.","Collaborator"
"RN138",2022,"Vaughn, Z.","Collaborator"
"RN138",2022,"Semivolos, A.","Collaborator"
"RN138",2022,"Kim, Y.","Collaborator"
"RN138",2022,"Gonzales, A. L.","Collaborator"
"RN124",2022,"Rocha, Luis M","Faculty"
"RN125",2022,"Rosas, Fernando E","Collaborator"
"RN125",2022,"Mediano, Pedro AM","Collaborator"
"RN125",2022,"Luppi, Andrea I","Collaborator"
"RN125",2022,"Varley, Thomas F","Fellow"
"RN125",2022,"Lizier, Joseph T","Collaborator"
"RN125",2022,"Stramaglia, Sebastiano","Collaborator"
"RN125",2022,"Jensen, Henrik J","Collaborator"
"RN125",2022,"Marinazzo, Daniele","Collaborator"
"RN129",2022,"Safron, Adam","Collaborator"
"RN129",2022,"Klimaj, Victoria","Fellow"
"RN129",2022,"Hipólito, Inês","Collaborator"
"RN248",2022,"Varley, Thomas F","Fellow"
"RN238",2022,"Varley, Thomas F","Fellow"
"RN238",2022,"Hoel, Erik","Collaborator"
"RN120",2022,"Varley, Thomas F","Fellow"
"RN120",2022,"Kaminski, Patrick","Fellow"
"RN200",2022,"Varley, Thomas F","Fellow"
"RN200",2022,"Sporns, Olaf","Faculty"
"RN132",2022,"Zhang, Larry","Fellow"
"RN132",2022,"Kolacz, Jacek","Collaborator"
"RN132",2022,"Rizzo, Albert","Collaborator"
"RN132",2022,"Scherer, Stefan","Collaborator"
"RN132",2022,"Soleymani, Mohammad","Collaborator"
"RN113",2023,"Barron, Alexander TJ","Affiliate"
"RN113",2023,"ten Thij, Marijn","Collaborator"
"RN113",2023,"Bollen, Johan","Faculty"
"RN116",2023,"Correia, Rion Brattig","Affiliate"
"RN116",2023,"Barrat, Alain","Collaborator"
"RN116",2023,"Rocha, Luis M","Faculty"
"RN247",2023,"Costa, Felipe Xavier","Collaborator"
"RN247",2023,"Rozum, Jordan C","Collaborator"
"RN247",2023,"Marcus, Austin M","Collaborator"
"RN247",2023,"Rocha, Luis M","Faculty"
"RN204",2023,"Edinger, Andy","Fellow"
"RN204",2023,"Valdez, Danny","Collaborator"
"RN204",2023,"Walsh-Buhi, Eric","Collaborator"
"RN204",2023,"Bollen, Johan","Faculty"
"RN119",2023,"Giroux, Stacey A.","Collaborator"
"RN119",2023,"Kaminski, Patrick","Fellow"
"RN119",2023,"Waldman, Kurt B","Collaborator"
"RN119",2023,"Blekking, Jordan","Collaborator"
"RN119",2023,"Evans, Tom","Collaborator"
"RN119",2023,"Caylor, Kelly K","Collaborator"
"RN122",2023,"Heaberlin, Bradi M","Fellow"
"RN122",2023,"Shattuck, Annie","Faculty"
"RN193",2023,"Kaminski, Patrick","Fellow"
"RN193",2023,"Perry, Brea L","Faculty"
"RN193",2023,"Green Jr, Harold D","Collaborator"
"RN118",2023,"Min, Aehong","Affiliate"
"RN118",2023,"Miller, Wendy R","Collaborator"
"RN118",2023,"Rocha, Luis M","Faculty"
"RN118",2023,"Börner, Katy","Faculty"
"RN118",2023,"Correia, Rion Brattig","Affiliate"
"RN118",2023,"Shih, Patrick C","Collaborator"
"RN110",2023,"Patwardhan, Siddharth","Collaborator"
"RN110",2023,"Rao, Varun K","Fellow"
"RN110",2023,"Fortunato, Santo","Faculty"
"RN110",2023,"Radicchi, Filippo","Faculty"
"RN112",2023,"Pope, Maria","Fellow"
"RN112",2023,"Seguin, Caio","Collaborator"
"RN112",2023,"Varley, Thomas F","Fellow"
"RN112",2023,"Faskowitz, Joshua","Collaborator"
"RN112",2023,"Sporns, Olaf","Faculty"
"RN219",2023,"Severino, Gabriel J","Collaborator"
"RN219",2023,"Merritt, Haily","Fellow"
"RN219",2023,"Izquierdo, Eduardo J","Faculty"
"RN220",2023,"Stolting, Lindsay","Collaborator"
"RN220",2023,"Beer, Randall D","Faculty"
"RN220",2023,"Izquierdo, Eduardo J","Faculty"
"RN190",2023,"Tanner, Jacob C","Fellow"
"RN190",2023,"Faskowitz, Joshua","Collaborator"
"RN190",2023,"Byrge, Lisa","Collaborator"
"RN190",2023,"Kennedy, Daniel P","Collaborator"
"RN190",2023,"Sporns, Olaf","Faculty"
"RN190",2023,"Betzel, Richard F","Faculty"
"RN115",2023,"Varley, Thomas F","Fellow"
"RN114",2023,"Varley, Thomas F","Fellow"
"RN114",2023,"Pope, Maria","Fellow"
"RN114",2023,"Faskowitz, Joshua","Collaborator"
"RN114",2023,"Sporns, Olaf","Faculty"
"RN111",2023,"Varley, Thomas F","Fellow"
"RN111",2023,"Pope, Maria","Fellow"
"RN111",2023,"Grazia, Maria","Collaborator"
"RN111",2023,"Faskowitz, Joshua","Collaborator"
"RN111",2023,"Sporns, Olaf","Faculty"
"RN117",2023,"Varley, Thomas F","Fellow"
"RN117",2023,"Sporns, Olaf","Faculty"
"RN117",2023,"Schaffelhofer, Stefan","Collaborator"
"RN117",2023,"Scherberger, Hansjörg","Collaborator"
"RN117",2023,"Dann, Benjamin","Collaborator"
"RN267",2024,"Aiyappa, Rachith","Collaborator"
"RN267",2024,"Flammini, Alessandro","Faculty"
"RN267",2024,"Ahn, Yong-Yeol","Faculty"
"RN109",2024,"Crossley, R. M.","Collaborator"
"RN109",2024,"Johnson, S.","Collaborator"
"RN109",2024,"Tsingos, E.","Collaborator"
"RN109",2024,"Bell, Z.","Collaborator"
"RN109",2024,"Berardi, M.","Collaborator"
"RN109",2024,"Botticelli, M.","Collaborator"
"RN109",2024,"Braat, Q. J. S.","Collaborator"
"RN109",2024,"Metzcar, John","Fellow"
"RN109",2024,"Ruscone, M.","Collaborator"
"RN109",2024,"Yin, Y.","Collaborator"
"RN109",2024,"Shuttleworth, R.","Collaborator"
"RN189",2024,"Merritt, Haily","Fellow"
"RN189",2024,"Faskowitz, Joshua","Collaborator"
"RN189",2024,"Gonzalez, Marlen Z","Collaborator"
"RN189",2024,"Betzel, Richard F","Faculty"
"RN108",2024,"Metzcar, John","Fellow"
"RN108",2024,"Jutzeler, Catherine R","Collaborator"
"RN108",2024,"Macklin, Paul","Faculty"
"RN108",2024,"Köhn-Luque, Alvaro","Collaborator"
"RN108",2024,"Brüningk, Sarah C","Collaborator"
"RN256",2024,"Patwardhan, Siddharth","Collaborator"
"RN256",2024,"Erkol, Sirag","Collaborator"
"RN256",2024,"Fortunato, Santo","Faculty"
"RN256",2024,"Barthelemy, Marc","Collaborator"
"RN256",2024,"Radicchi, Filippo","Faculty"
"RN106",2024,"Sánchez-Valle, Jon","Collaborator"
"RN106",2024,"Correia, Rion Brattig","Affiliate"
"RN106",2024,"Camacho-Artacho, Marta","Collaborator"
"RN106",2024,"Lepore, Rosalba","Collaborator"
"RN106",2024,"Mattos, Mauro M","Collaborator"
"RN106",2024,"Rocha, Luis M","Faculty"
"RN106",2024,"Valencia, Alfonso","Collaborator"
"RN224",2024,"Varley, Thomas F","Fellow"
"RN224",2024,"Havert, Daniel","Collaborator"
"RN224",2024,"Fosque, Leandro","Collaborator"
"RN224",2024,"Alipour, Abolfazl","Collaborator"
"RN224",2024,"Weerawongphrom, Naruepon","Collaborator"
"RN224",2024,"Naganobori, Hiroki","Collaborator"
"RN224",2024,"O’Shea, Lily","Collaborator"
"RN224",2024,"Pope, Maria","Fellow"
"RN224",2024,"Beggs, John M","Faculty"
