"bibtexkey","year","title","author","editor","journal","proceeding_title","volume","number","issn","isbn","doi","wosid","keywords","type","category"
"RN134",2021,"Visualizing Big Science Projects","Börner, Katy;Silva, Filipi Nascimento;Milojević, Staša",NA,"Nature Reviews Physics",NA,"3","11",NA,NA,"10.1038/s42254-021-00374-7","WOS:000701645600001",NA,"Journal Article","ARTICLE"
"RN116",2023,"Contact Networks Have Small Metric Backbones That Maintain Community Structure And Are Primary Transmission Subgraphs","Brattig Correia, Rion;Barrat, Alain;Rocha, Luis M",NA,"Plos Computational Biology",NA,"19","2","1553-734X",NA,"10.1371/journal.pcbi.1010854","WOS:000942233100002",NA,"Journal Article","ARTICLE"
"RN159",2019,"City-Wide Electronic Health Records Reveal Gender And Age Biases In Administration Of Known Drug-Drug Interactions","Brattig Correia, Rion;de Araújo Kohler, Luciana P;Mattos, Mauro M;Rocha, Luis M",NA,"NPJ Digital Medicine",NA,"2",NA,"2398-6352",NA,"10.1038/s41746-019-0141-x","WOS:000478102700001",NA,"Journal Article","ARTICLE"
"RN146",2020,"Sources Of Predictive Information In Dynamical Neural Networks","Candadai, Madhavun;Izquierdo, Eduardo J",NA,"Scientific Reports",NA,"10","1","2045-2322",NA,"10.1038/s41598-020-73380-x","WOS:000615373100013",NA,"Journal Article","ARTICLE"
"RN128",2022,"Cortico-Subcortical Interactions In Overlapping Communities Of Edge Functional Connectivity","Chumin, Evgeny J;Faskowitz, Joshua;Esfahlani, Farnaz Zamani;Jo, Youngheun;Merritt, Haily;Tanner, Jacob;Cutts, Sarah A;Pope, Maria;Betzel, Richard;Sporns, Olaf",NA,"Neuroimage",NA,"250",NA,"1053-8119",NA,"10.1016/j.neuroimage.2022.118971","WOS:000766267800008",NA,"Journal Article","ARTICLE"
"RN166",2018,"A Probabilistic Automated Tagger To Identify Human-Related Publications","Cohen, A. M.;Dunivin, Z. O.;Smalheiser, N. R.",NA,"Database-the Journal of Biological Databases and Curation",NA,NA,NA,"1758-0463",NA,"10.1093/database/bay079","WOS:000444756600002",NA,"Journal Article","ARTICLE"
"RN167",2018,"Cana: A Python Package For Quantifying Control And Canalization In Boolean Networks","Correia, Rion B;Gates, Alexander J;Wang, Xuan;Rocha, Luis M",NA,"Frontiers in Physiology",NA,"9",NA,NA,NA,"10.3389/fphys.2018.01046","WOS:000441685300001",NA,"Journal Article","ARTICLE"
"RN155",2020,"Mining Social Media Data For Biomedical Signals And Health-Related Behavior","Correia, Rion Brattig;Wood, Ian B;Bollen, Johan;Rocha, Luis M","Altman, R. B.",NA,"Annual Review Of Biomedical Data Science, Vol 3, 2020","3",NA,NA,NA,"10.1146/annurev-biodatasci-030320-040844","WOS:000613910200018",NA,"Book Section","INBOOK"
"RN247",2023,"Effective Connectivity And Bias Entropy Improve Prediction Of Dynamical Regime In Automata Networks","Costa, Felipe Xavier;Rozum, Jordan C;Marcus, Austin M;Rocha, Luis M",NA,"Entropy",NA,"25","2","1099-4300",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN109",2024,"Modeling The Extracellular Matrix In Cell Migration And Morphogenesis: A Guide For The Curious Biologist","Crossley, R. M.;Johnson, S.;Tsingos, E.;Bell, Z.;Berardi, M.;Botticelli, M.;Braat, Q. J. S.;Metzcar, J.;Ruscone, M.;Yin, Y.;Shuttleworth, R.",NA,"Frontiers in Cell and Developmental Biology",NA,"12",NA,"2296-634X",NA,"10.3389/fcell.2024.1354132","WOS:001184929700001",NA,"Journal Article","ARTICLE"
"RN254",2021,"Covaxxy: A Collection Of English-Language Twitter Posts About Covid-19 Vaccines","DeVerna, Matthew R;Pierri, Francesco;Truong, Bao Tran;Bollenbacher, John;Axelrod, David;Loynes, Niklas;Torres-Lugo, Christopher;Yang, Kai-Cheng;Menczer, Filippo;Bryden, John",NA,NA,"Proceedings Of The International Aaai Conference On Web And Social Media","15",NA,NA,"2334-0770",NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN2",2021,"Dapt: A Package Enabling Distributed Automated Parameter Testing","Duggan, Ben;Metzcar, John;Macklin, Paul",NA,"Gigabyte",NA,"2021",NA,NA,NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN147",2020,"Gender, Soft Skills, And Patient Experience In Online Physician Reviews: A Large-Scale Text Analysis","Dunivin, Z.;Zadunayski, L.;Baskota, U.;Siek, K.;Mankoff, J.",NA,"Journal of Medical Internet Research",NA,"22","7","1438-8871",NA,"10.2196/14455","WOS:000575051400012",NA,"Journal Article","ARTICLE"
"RN127",2022,"Black Lives Matter Protests Shift Public Discourse","Dunivin, Zackary Okun;Yan, Harry Yaojun;Ince, Jelani;Rojas, Fabio",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"119","10","0027-8424",NA,"10.1073/pnas.2117320119","WOS:000772222800013",NA,"Journal Article","ARTICLE"
"RN234",2022,"Getting Situated: Comparative Analysis Of Language Models With Experimental Categorization Tasks","Edinger, Andy;Goldstone, Robert",NA,NA,"Proceedings Of The Annual Meeting Of The Cognitive Science Society","44",NA,NA,NA,NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN204",2023,"Deep Learning For Topical Trend Discovery In Online Discourse About Pre-Exposure Prophylaxis (Prep)","Edinger, Andy;Valdez, Danny;Walsh-Buhi, Eric;Bollen, Johan",NA,"AIDS and Behavior",NA,"27","2","1090-7165",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN163",2019,"Computation Is Concentrated In Rich Clubs Of Local Cortical Networks","Faber, Samantha P;Timme, Nicholas M;Beggs, John M;Newman, Ehren L",NA,"Network Neuroscience",NA,"3","2","2472-1751",NA,"10.1162/netn_a_00069","WOS:000476767200007",NA,"Journal Article","ARTICLE"
"RN257",2020,"“Then And Now,” Mapping The 25 Year Evolution And Impact Of North American Vascular Biology Organization Science Through Publications Of Its Founding And Current Members","Galis, Zorina S;Herr, Bruce W;Daptardar, Santoshmurti S;Sydykanova, Medina;Börner, Katy",NA,"Frontiers in Research Metrics and Analytics",NA,"5",NA,"2504-0537",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN140",2021,"The Effective Graph Reveals Redundancy, Canalization, And Control Pathways In Biochemical Regulation And Signaling","Gates, Alexander J;Brattig Correia, Rion;Wang, Xuan;Rocha, Luis M",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"118","12","0027-8424",NA,"10.1073/pnas.2022598118","WOS:000631868600059",NA,"Journal Article","ARTICLE"
"RN119",2023,"Smallholder Social Networks: Advice Seeking And Adaptation In Rural Kenya","Giroux, Stacey;Kaminski, Patrick;Waldman, Kurt;Blekking, Jordan;Evans, Tom;Caylor, Kelly K",NA,"Agricultural Systems",NA,"205",NA,"0308-521X",NA,"10.1016/j.agsy.2022.103574","WOS:000899212100001",NA,"Journal Article","ARTICLE"
"RN122",2023,"Farm Stress And The Production Of Rural Sacrifice Zones","Heaberlin, Bradi;Shattuck, Annie",NA,"Journal of Rural Studies",NA,"97",NA,"0743-0167",NA,"10.1016/j.jrurstud.2022.11.007","WOS:000995028000001",NA,"Journal Article","ARTICLE"
"RN207",2022,"Perpetual Crossers Without Sensory Delay: Revisiting The Perceptual Crossing Simulation Studies","Izquierdo, Eduardo J;Severino, Gabriel J;Merritt, Haily",NA,NA,"Artificial Life Conference Proceedings 34","2022",NA,NA,"2693-1508",NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN193",2023,"Comparing Professional Communities: Opioid Prescriber Networks And Public Health Preparedness Districts","Kaminski, Patrick;Perry, Brea L;Green Jr, Harold D",NA,"Harm Reduction Journal",NA,"20","1","1477-7517",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN131",2022,"A Recursive Logit Model With Choice Aversion And Its Application To Transportation Networks","Knies, A.;Lorca, J.;Melo, E.",NA,"Transportation Research Part B-Methodological",NA,"155",NA,"0191-2615",NA,"10.1016/j.trb.2021.10.011","WOS:000793294200003",NA,"Journal Article","ARTICLE"
"RN171",2020,"Cognition Evolves With The Emergence Of Environmental Patchiness","Luthra, Mahi;Izquierdo, Eduardo J;Todd, Peter M",NA,NA,"Artificial Life Conference Proceedings 32",NA,NA,NA,"2693-1508",NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN130",2022,"Effective Connectivity Determines The Critical Dynamics Of Biochemical Networks","Manicka, Santosh;Marques-Pita, Manuel;Rocha, Luis M",NA,"Journal of the Royal Society Interface",NA,"19","186","1742-5689",NA,"10.1098/rsif.2021.0659","WOS:000743896200002",NA,"Journal Article","ARTICLE"
"RN157",2019,"Applications Of Photogrammetric Modeling To Roman Wall Painting: A Case Study In The House Of Marcus Lucretius","McClinton, K. E.",NA,"Arts",NA,"8","3",NA,NA,"10.3390/arts8030089","WOS:000487985800033",NA,"Journal Article","ARTICLE"
"RN189",2024,"Stability And Variation Of Brain-Behavior Correlation Patterns Across Measures Of Social Support","Merritt, Haily;Faskowitz, Joshua;Gonzalez, Marlen Z;Betzel, Richard F",NA,"Imaging Neuroscience",NA,"2",NA,"2837-6056",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN108",2024,"A Review Of Mechanistic Learning In Mathematical Oncology","Metzcar, John;Jutzeler, Catherine R;Macklin, Paul;Köhn-Luque, Alvaro;Brüningk, Sarah C",NA,"Frontiers in Immunology",NA,"15",NA,"1664-3224",NA,"10.3389/fimmu.2024.1363144","WOS:001191909200001",NA,"Journal Article","ARTICLE"
"RN161",2019,"A Review Of Cell-Based Computational Modeling In Cancer Biology","Metzcar, J.;Wang, Y. F.;Heiland, R.;Macklin, P.",NA,"Jco Clinical Cancer Informatics",NA,"3",NA,"2473-4276",NA,"10.1200/cci.18.00069","WOS:000461065500001",NA,"Journal Article","ARTICLE"
"RN142",2021,"Extending & Facilitating Informal Care Networks For People With Epilepsy & Caregivers","Min, Aehong",NA,NA,"24th Acm Conference On Computer-Supported Cooperative Work And Social Computing (Cscw)",NA,NA,NA,"978-1-4503-8479-7","10.1145/3462204.3481793","WOS:001081877800064",NA,"Conference Proceedings","INPROCEEDINGS"
"RN205",2021,"Just In Time: Challenges And Opportunities Of First Aid Care Information Sharing For Supporting Epileptic Seizure Response","Min, Aehong;Miller, Wendy;Rocha, Luis;Börner, Katy;Brattig Correia, Rion;Shih, Patrick C",NA,"Proceedings of the ACM on Human-computer Interaction",NA,"5","CSCW1","2573-0142",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN118",2023,"Understanding Contexts And Challenges Of Information Management For Epilepsy Care","Min, Aehong;Miller, Wendy R;Rocha, Luis M;Börner, Katy;Brattig Correia, Rion;Shih, Patrick C",NA,NA,"Chi Conference On Human Factors In Computing Systems (Chi)",NA,NA,NA,"978-1-4503-9421-5","10.1145/3544548.3580949","WOS:001037809504047",NA,"Conference Proceedings","INPROCEEDINGS"
"RN123",2022,"Revealing The Dynamics Of Neural Information Processing With Multivariate Information Decomposition","Newman, Ehren L;Varley, Thomas F;Parakkattu, Vibin K;Sherrill, Samantha P;Beggs, John M",NA,"Entropy",NA,"24","7",NA,NA,"10.3390/e24070930","WOS:000832273800001",NA,"Journal Article","ARTICLE"
"RN126",2022,"Universality, Criticality And Complexity Of Information Propagation In Social Media","Notarmuzi, Daniele;Castellano, Claudio;Flammini, Alessandro;Mazzilli, Dario;Radicchi, Filippo",NA,"Nature Communications",NA,"13","1",NA,NA,"10.1038/s41467-022-28964-8","WOS:000769063600006",NA,"Journal Article","ARTICLE"
"RN235",2021,"Uncovering Coordinated Networks On Social Media: Methods And Case Studies","Pacheco, Diogo;Hui, Pik-Mai;Torres-Lugo, Christopher;Truong, Bao Tran;Flammini, Alessandro;Menczer, Filippo",NA,NA,"Proceedings Of The International Aaai Conference On Web And Social Media","15",NA,NA,"2334-0770",NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN4",2020,"Youtube Children’s Videos: Development Of A Genre Under Algorithm","Paolillo, John;Harper, Brian;Boothby, Clara;Axelrod, David",NA,NA,"Proceedings Of The Annual Hawaii International Conference On System Sciences",NA,NA,NA,NA,NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN256",2024,"Spatial Symmetry Breaking In Optimal Networks","Patwardhan, Siddharth;Erkol, Sirag;Fortunato, Santo;Barthelemy, Marc;Radicchi, Filippo",NA,"Bulletin of the American Physical Society",NA,NA,NA,NA,NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN110",2023,"Epidemic Spreading In Group-Structured Populations","Patwardhan, Siddharth;Rao, Varun K;Fortunato, Santo;Radicchi, Filippo",NA,"Physical Review X",NA,"13","4","2160-3308",NA,"10.1103/PhysRevX.13.041054","WOS:001133497600001","Physics","Journal Article","ARTICLE"
"RN156",2019,"Co-Prescription Network Reveals Social Dynamics Of Opioid Doctor Shopping","Perry, B. L.;Yang, K. C.;Kaminski, P.;Odabas, M.;Park, J.;Martel, M.;Oser, C. B.;Freeman, P. R.;Ahn, Y. Y.;Talbert, J.",NA,"Plos One",NA,"14","10","1932-6203",NA,"10.1371/journal.pone.0223849","WOS:000532638300011",NA,"Journal Article","ARTICLE"
"RN133",2021,"Modular Origins Of High-Amplitude Cofluctuations In Fine-Scale Functional Connectivity Dynamics","Pope, Maria;Fukushima, Makoto;Betzel, Richard F;Sporns, Olaf",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"118","46","0027-8424",NA,"10.1073/pnas.2109380118j1of11","WOS:000722463000005",NA,"Journal Article","ARTICLE"
"RN112",2023,"Co-Evolving Dynamics And Topology In A Coupled Oscillator Model Of Resting Brain Function","Pope, Maria;Seguin, Caio;Varley, Thomas F;Faskowitz, Joshua;Sporns, Olaf",NA,"Neuroimage",NA,"277",NA,"1053-8119",NA,"10.1016/j.neuroimage.2023.120266","WOS:001037422000001",NA,"Journal Article","ARTICLE"
"RN138",2022,"Making Stability Dependable: Stable Cellphone Access Leads To Better Health Outcomes For Those Experiencing Poverty","Read, G. L.;Yan, H. Y.;Anderson, P. B.;Partain, L. P. B.;Vaughn, Z.;Semivolos, A.;Kim, Y.;Gonzales, A. L.",NA,"Information Communication & Society",NA,"25","14","1369-118X",NA,"10.1080/1369118x.2021.1928263","WOS:000658204700001",NA,"Journal Article","ARTICLE"
"RN135",2021,"A Persistent Invasive Phenotype In Post-Hypoxic Tumor Cells Is Revealed By Fate Mapping And Computational Modeling","Rocha, H. L.;Godet, I.;Kurtoglu, F.;Metzcar, J.;Konstantinopoulos, K.;Bhoyar, S.;Gilkes, D. M.;Macklin, P.",NA,"Iscience",NA,"24","9",NA,NA,"10.1016/j.isci.2021.102935","WOS:000698069100003",NA,"Journal Article","ARTICLE"
"RN124",2022,"On The Feasibility Of Dynamical Analysis Of Network Models Of Biochemical Regulation","Rocha, Luis M",NA,"Bioinformatics",NA,"38","14","1367-4803",NA,"10.1093/bioinformatics/btac360","WOS:000807453300001",NA,"Journal Article","ARTICLE"
"RN125",2022,"Disentangling High-Order Mechanisms And High-Order Behaviours In Complex Systems","Rosas, Fernando E;Mediano, Pedro AM;Luppi, Andrea I;Varley, Thomas F;Lizier, Joseph T;Stramaglia, Sebastiano;Jensen, Henrik J;Marinazzo, Daniele",NA,"Nature Physics",NA,"18","5","1745-2473",NA,"10.1038/s41567-022-01548-5","WOS:000771321000006",NA,"Journal Article","ARTICLE"
"RN129",2022,"On The Importance Of Being Flexible: Dynamic Brain Networks And Their Potential Functional Significances","Safron, Adam;Klimaj, Victoria;Hipólito, Inês",NA,"Frontiers in Systems Neuroscience",NA,"15",NA,NA,NA,"10.3389/fnsys.2021.688424","WOS:000751443000001",NA,"Journal Article","ARTICLE"
"RN153",2020,"Neural Responses To Sexual Stimuli In Heterosexual And Homosexual Men And Women: Men's Responses Are More Specific","Safron, A.;Sylva, D.;Klimaj, V.;Rosenthal, A. M.;Bailey, J. M.",NA,"Archives of Sexual Behavior",NA,"49","2","0004-0002",NA,"10.1007/s10508-019-01521-z","WOS:000514999700007",NA,"Journal Article","ARTICLE"
"RN150",2020,"Measuring The Predictability Of Life Outcomes With A Scientific Mass Collaboration","Salganik, M. J.;Lundberg, I.;Kindel, A. T.;Ahearn, C. E.;Al-Ghoneim, K.;Almaatouq, A.;Altschul, D. M.;Brand, J. E.;Carnegie, N. B.;Compton, R. J.;Datta, D.;Davidson, T.;Filippova, A.;Gilroy, C.;Goode, B. J.;Jahani, E.;Kashyap, R.;Kirchner, A.;McKay, S.;Morgan, A. C.;Pentland, A.;Polimis, K.;Raes, L.;Rigobon, D. E.;Roberts, C. V.;Stanescu, D. M.;Suhara, Y.;Usmania, A.;Wang, E. H.;Adem, M.;Alhajri, A.;AlShebli, B.;Amin, R.;Amos, R. B.;Argyle, L. P.;Baer-Bositis, L.;Büchi, M.;Chung, B. R.;Eggert, W.;Faletto, G.;Fan, Z. L.;Freese, J.;Gadgil, T.;Gagné, J.;Gao, Y.;Halpern-Manners, A.;Hashim, S. P.;Hausen, S.;He, G. H.;Higuera, K.;Hogan, B.;Horwitz, I. M.;Hummel, L. M.;Jain, N.;Jin, K.;Jurgens, D.;Kaminski, P.;Karapetyan, A.;Kim, E. H.;Leizman, B.;Liu, N. J.;Möser, M.;Mack, A. E.;Mahajan, M.;Mandell, N.;Marahrens, H.;Mercado-Garcia, D.;Mocz, V.;Mueller-Gastell, K.;Musse, A.;Niu, Q.;Nowak, W.;Omidvar, H.;Or, A.;Ouyang, K.;Pinto, K. M.;Porter, E.;Porter, K. E.;Qian, C.;Rauf, T.;Sargsyan, A.;Schaffner, T.;Schnabel, L.;Schonfeld, B.;Sender, B.;Tang, J. D.;Tsurkov, E.;van Loon, A.;Varol, O.;Wang, X. F.;Wang, Z.;Wang, J. L.;Wang, F.;Weissman, S.;Whitaker, K.;Wolters, M. K.;Woo, W. L.;Wu, J.;Wu, C.;Yang, K. R.;others",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"117","15","0027-8424",NA,"10.1073/pnas.1915006117","WOS:000526871700030",NA,"Journal Article","ARTICLE"
"RN106",2024,"Prevalence And Differences In The Co-Administration Of Drugs Known To Interact: An Analysis Of Three Distinct And Large Populations","Sánchez-Valle, Jon;Correia, Rion Brattig;Camacho-Artacho, Marta;Lepore, Rosalba;Mattos, Mauro M;Rocha, Luis M;Valencia, Alfonso",NA,"BMC Medicine",NA,"22","1","1741-7015",NA,"10.1186/s12916-024-03384-1","WOS:001205495400002",NA,"Journal Article","ARTICLE"
"RN172",2021,"Visual Analytics Of Stem Graduate Education: Combining The Systems Evaluation Protocol And Data Visualizations In Support Of A Nsf Nrt Program Evaluation","Scrivner, Olga;Trochim, William;Börner, Katy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN219",2023,"Between You And Me: A Systematic Analysis Of Mutual Social Interaction In Perceptual Crossing Agents","Severino, Gabriel J;Merritt, Haily;Izquierdo, Eduardo J",NA,NA,"Artificial Life Conference Proceedings 35","2023",NA,NA,"2693-1508",NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN165",2018,"The Spread Of Low-Credibility Content By Social Bots","Shao, Chengcheng;Ciampaglia, Giovanni Luca;Varol, Onur;Yang, Kai-Cheng;Flammini, Alessandro;Menczer, Filippo",NA,"Nature Communications",NA,"9",NA,"2041-1723",NA,"10.1038/s41467-018-06930-7","WOS:000450580000001",NA,"Journal Article","ARTICLE"
"RN149",2020,"Correlated Activity Favors Synergistic Processing In Local Cortical Networks In Vitro At Synaptically Relevant Timescales","Sherrill, Samantha P;Timme, Nicholas M;Beggs, John M;Newman, Ehren L",NA,"Network Neuroscience",NA,"4","3","2472-1751",NA,"10.1162/netn_a_00141","WOS:000544715300009",NA,"Journal Article","ARTICLE"
"RN169",2021,"The Distance Backbone Of Complex Networks","Simas, Tiago;Correia, Rion Brattig;Rocha, Luis M",NA,"Journal of Complex Networks",NA,"9","6","2051-1310",NA,"10.1093/comnet/cnab021","WOS:000797304300002",NA,"Journal Article","ARTICLE"
"RN220",2023,"Characterizing The Role Of Homeostatic Plasticity In Central Pattern Generators","Stolting, Lindsay;Beer, Randall D;Izquierdo, Eduardo J",NA,NA,"Artificial Life Conference Proceedings 35","2023",NA,NA,"2693-1508",NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN190",2023,"Synchronous High-Amplitude Co-Fluctuations Of Functional Brain Networks During Movie-Watching","Tanner, Jacob C;Faskowitz, Joshua;Byrge, Lisa;Kennedy, Daniel P;Sporns, Olaf;Betzel, Richard F",NA,"Imaging Neuroscience",NA,"1",NA,"2837-6056",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN248",2022,"Flickering Emergences: The Question Of Locality In Information-Theoretic Approaches To Emergence","Varley, Thomas F",NA,"Entropy",NA,"25","1","1099-4300",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN115",2023,"Decomposing Past And Future: Integrated Information Decomposition Based On Shared Probability Mass Exclusions","Varley, Thomas F",NA,"Plos One",NA,"18","3","1932-6203",NA,"10.1371/journal.pone.0282950","WOS:000984103600091",NA,"Journal Article","ARTICLE"
"RN145",2020,"Serotonergic Psychedelics Lsd & Psilocybin Increase The Fractal Dimension Of Cortical Brain Activity In Spatial And Temporal Domains","Varley, Thomas F;Carhart-Harris, Robin;Roseman, Leor;Menon, David K;Stamatakis, Emmanuel A",NA,"Neuroimage",NA,"220",NA,"1053-8119",NA,"10.1016/j.neuroimage.2020.117049","WOS:000579184700014",NA,"Journal Article","ARTICLE"
"RN151",2020,"Fractal Dimension Of Cortical Functional Connectivity Networks & Severity Of Disorders Of Consciousness","Varley, Thomas F;Craig, Michael;Adapa, Ram;Finoia, Paola;Williams, Guy;Allanson, Judith;Pickard, John;Menon, David K;Stamatakis, Emmanuel A",NA,"Plos One",NA,"15","2","1932-6203",NA,"10.1371/journal.pone.0223812","WOS:000517202100001",NA,"Journal Article","ARTICLE"
"RN137",2021,"Topological Analysis Of Differential Effects Of Ketamine And Propofol Anaesthesia On Brain Dynamics","Varley, Thomas F;Denny, Vanessa;Sporns, Olaf;Patania, Alice",NA,"Royal Society Open Science",NA,"8","6","2054-5703",NA,"10.1098/rsos.201971","WOS:000665051900001",NA,"Journal Article","ARTICLE"
"RN224",2024,"The Serotonergic Psychedelic N, N-Dipropyltryptamine Alters Information-Processing Dynamics In In Vitro Cortical Neural Circuits","Varley, Thomas F;Havert, Daniel;Fosque, Leandro;Alipour, Abolfazl;Weerawongphrom, Naruepon;Naganobori, Hiroki;O’Shea, Lily;Pope, Maria;Beggs, John",NA,"Network Neuroscience",NA,NA,NA,"2472-1751",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN238",2022,"Emergence As The Conversion Of Information: A Unifying Theory","Varley, Thomas F;Hoel, Erik",NA,"Philosophical Transactions of the Royal Society A",NA,"380","2227","1364-503X",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN120",2022,"Untangling Synergistic Effects Of Intersecting Social Identities With Partial Information Decomposition","Varley, Thomas F;Kaminski, Patrick",NA,"Entropy",NA,"24","10",NA,NA,"10.3390/e24101387","WOS:000872630700001",NA,"Journal Article","ARTICLE"
"RN154",2020,"Consciousness & Brain Functional Complexity In Propofol Anaesthesia","Varley, Thomas F;Luppi, Andrea I;Pappas, Ioannis;Naci, Lorina;Adapa, Ram;Owen, Adrian M;Menon, David K;Stamatakis, Emmanuel A",NA,"Scientific Reports",NA,"10","1","2045-2322",NA,"10.1038/s41598-020-57695-3","WOS:000562830300012",NA,"Journal Article","ARTICLE"
"RN114",2023,"Multivariate Information Theory Uncovers Synergistic Subsystems Of The Human Cerebral Cortex","Varley, Thomas F;Pope, Maria;Faskowitz, Joshua;Sporns, Olaf",NA,"Communications Biology",NA,"6","1",NA,NA,"10.1038/s42003-023-04843-w","WOS:000976102800006",NA,"Journal Article","ARTICLE"
"RN111",2023,"Partial Entropy Decomposition Reveals Higher-Order Information Structures In Human Brain Activity","Varley, Thomas F;Pope, Maria;Grazia, Maria;Joshua;Sporns, Olaf",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"120","33","0027-8424",NA,"10.1073/pnas.2300888120","WOS:001089181900001",NA,"Journal Article","ARTICLE"
"RN200",2022,"Network Analysis Of Time Series: Novel Approaches To Network Neuroscience","Varley, Thomas F;Sporns, Olaf",NA,"Frontiers in Neuroscience",NA,"15",NA,"1662-453X",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN144",2020,"Differential Effects Of Propofol And Ketamine On Critical Brain Dynamics","Varley, Thomas F;Sporns, Olaf;Puce, Aina;Beggs, John",NA,"Plos Computational Biology",NA,"16","12","1553-734X",NA,"10.1371/journal.pcbi.1008418","WOS:000603071900002",NA,"Journal Article","ARTICLE"
