"bibtexkey","year","title","author","editor","journal","proceeding_title","volume","number","issn","isbn","doi","wosid","keywords","type","category"
"RN267",2024,"Emergence Of Simple And Complex Contagion Dynamics From Weighted Belief Networks","Aiyappa, Rachith;Flammini, Alessandro;Ahn, Yong-Yeol",NA,"Science Advances",NA,"10","15","2375-2548",NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN141",2021,"Camera Point-Of-View Exacerbates Racial Bias In Viewers Of Police Use Of Force Videos","Bailey, R. L.;Read, G. L.;Yan, Y. H.;Liu, J. W.;Makin, D. A.;Willits, D.",NA,"Journal of Communication",NA,"71","2","0021-9916",NA,"10.1093/joc/jqab002","WOS:000648955900004",NA,"Journal Article","ARTICLE"
"RN121",2022,"Quantifying Collective Identity Online From Self-Defining Hashtags","Barron, Alexander TJ;Bollen, Johan",NA,"Scientific Reports",NA,"12","1","2045-2322",NA,"10.1038/s41598-022-19181-w","WOS:000849490400014",NA,"Journal Article","ARTICLE"
"RN113",2023,"Online Identity As A Collective Labeling Process","Barron, Alexander TJ;ten Thij, Marijn;Bollen, Johan",NA,"Journal of Physics-Complexity",NA,"4","2",NA,NA,"10.1088/2632-072X/acc62c","WOS:000962532100001",NA,"Journal Article","ARTICLE"
"RN168",2018,"Individuals, Institutions, And Innovation In The Debates Of The French Revolution","Barron, A. T. J.;Huang, J.;Spang, R. L.;DeDeo, S.",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"115","18","0027-8424",NA,"10.1073/pnas.1717729115","WOS:000431119600043",NA,"Journal Article","ARTICLE"
"RN221",2020,"Neural Reuse In Multifunctional Neural Networks For Control Tasks","Benson, Lauren V;Candadai, Madhavun;Izquierdo, Eduardo J",NA,NA,"Artificial Life Conference Proceedings 32",NA,NA,NA,"2693-1508",NA,NA,NA,"Conference Proceedings","INPROCEEDINGS"
"RN253",2021,"Atlas Of Forecasts: Modeling And Mapping Desirable Futures","Borner, Katy",NA,NA,NA,NA,NA,NA,"0262045958",NA,NA,NA,"Book","BOOK"
"RN160",2019,"Data Visualization Literacy: Definitions, Conceptual Frameworks, Exercises, And Assessments","Börner, Katy;Bueckle, Andreas;Ginda, Michael",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"116","6","0027-8424",NA,"10.1073/pnas.1807180116","WOS:000457731900012",NA,"Journal Article","ARTICLE"
"RN162",2019,"Science Forecasts: Modeling And Communicating Developments In Science, Technology, And Innovation","Börner, Katy;Milojević, Staša",NA,NA,NA,NA,NA,NA,"978-3-030-02511-3; 978-3-030-02510-6","10.1007/978-3-030-02511-3_6","WOS:000677564600008",NA,"Book","BOOK"
"RN164",2018,"Forecasting Innovations In Science, Technology, And Education","Börner, Katy;Rouse, William B;Trunfio, Paul;Stanley, H Eugene",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"115","50","0027-8424",NA,"10.1073/pnas.1818750115","WOS:000452866000045",NA,"Journal Article","ARTICLE"
