bibtexkey,year,title,author,author_prepared,editor,journal,proceeding_title,volume,number,issn,isbn,doi,wosid,keywords,type,category,wos_categories,wos_index,research_areas
RN267,2024,Emergence Of Simple And Complex Contagion Dynamics From Weighted Belief Networks,"Aiyappa, Rachith;Flammini, Alessandro;Ahn, Yong-Yeol","Aiyappa, Rachith;Flammini, Alessandro;Ahn, Yong-Yeol",NA,Science Advances,NA,10,15,2375-2548,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN141,2021,Camera Point-Of-View Exacerbates Racial Bias In Viewers Of Police Use Of Force Videos,"Bailey, R. L.;Read, G. L.;Yan, Y. H.;Liu, J. W.;Makin, D. A.;Willits, D.","Bailey, R. L.;Read, G. L.;Yan, Harry Yaojun;Liu, J. W.;Makin, D. A.;Willits, D.",NA,Journal of Communication,NA,71,2,0021-9916,NA,10.1093/joc/jqab002,WOS:000648955900004,AFROCENTRIC FACIAL FEATURES; BLACK-AND-WHITE; PROCEDURAL JUSTICE; AFRICAN-AMERICANS; TELEVISION-NEWS; TV-NEWS; RACE; CRIME; MEDIA; DISPARITIES,Journal Article,ARTICLE,Communication,Social Science Citation Index (SSCI),Communication
RN121,2022,Quantifying Collective Identity Online From Self-Defining Hashtags,"Barron, Alexander TJ;Bollen, Johan","Barron, Alexander TJ;Bollen, Johan",NA,Scientific Reports,NA,12,1,2045-2322,NA,10.1038/s41598-022-19181-w,WOS:000849490400014,SCIENCE,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN113,2023,Online Identity As A Collective Labeling Process,"Barron, Alexander TJ;ten Thij, Marijn;Bollen, Johan","Barron, Alexander TJ;ten Thij, Marijn;Bollen, Johan",NA,Journal of Physics-Complexity,NA,4,2,NA,NA,10.1088/2632-072X/acc62c,WOS:000962532100001,SEMIOTIC DYNAMICS,Journal Article,ARTICLE,"Mathematics, Interdisciplinary Applications; Multidisciplinary Sciences; Physics, Mathematical",Emerging Sources Citation Index (ESCI),Mathematics; Science & Technology - Other Topics; Physics
RN168,2018,"Individuals, Institutions, And Innovation In The Debates Of The French Revolution","Barron, A. T. J.;Huang, J.;Spang, R. L.;DeDeo, S.","Barron, Alexander TJ;Huang, J.;Spang, R. L.;DeDeo, S.",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,115,18,0027-8424,NA,10.1073/pnas.1717729115,WOS:000431119600043,NA,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics
RN221,2020,Neural Reuse In Multifunctional Neural Networks For Control Tasks,"Benson, Lauren V;Candadai, Madhavun;Izquierdo, Eduardo J","Benson, Lauren V;Candadai, Madhavun;Izquierdo, Eduardo J",NA,NA,Artificial Life Conference Proceedings 32,NA,NA,NA,2693-1508,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN253,2021,Atlas Of Forecasts: Modeling And Mapping Desirable Futures,"Borner, Katy","Börner, Katy",NA,NA,NA,NA,NA,NA,262045958,NA,NA,NA,Book,BOOK,NA,NA,NA
RN160,2019,"Data Visualization Literacy: Definitions, Conceptual Frameworks, Exercises, And Assessments","Börner, Katy;Bueckle, Andreas;Ginda, Michael","Börner, Katy;Bueckle, Andreas;Ginda, Michael",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,116,6,0027-8424,NA,10.1073/pnas.1807180116,WOS:000457731900012,VISUAL LITERACY; COMPREHENSION; INFORMATION; GRAMMAR; SENSE,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics
RN162,2019,"Science Forecasts: Modeling And Communicating Developments In Science, Technology, And Innovation","Börner, Katy;Milojević, Staša","Börner, Katy;Milojević, Staša",NA,NA,NA,NA,NA,NA,978-3-030-02511-3; 978-3-030-02510-6,10.1007/978-3-030-02511-3_6,WOS:000677564600008,NA,Book,BOOK,"Computer Science, Interdisciplinary Applications",Book Citation Index � Science (BKCI-S),Computer Science
RN164,2018,"Forecasting Innovations In Science, Technology, And Education","Börner, Katy;Rouse, William B;Trunfio, Paul;Stanley, H Eugene","Börner, Katy;Rouse, William B;Trunfio, Paul;Stanley, H Eugene",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,115,50,0027-8424,NA,10.1073/pnas.1818750115,WOS:000452866000045,EMPLOYMENT; WORKFORCE,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics
RN134,2021,Visualizing Big Science Projects,"Börner, Katy;Silva, Filipi Nascimento;Milojević, Staša","Börner, Katy;Silva, Filipi Nascimento;Milojević, Staša",NA,Nature Reviews Physics,NA,3,11,NA,NA,10.1038/s42254-021-00374-7,WOS:000701645600001,HUMAN-GENOME-PROJECT; DISCOVERIES; TEAMS,Journal Article,ARTICLE,"Physics, Applied; Physics, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Physics
RN116,2023,Contact Networks Have Small Metric Backbones That Maintain Community Structure And Are Primary Transmission Subgraphs,"Brattig Correia, Rion;Barrat, Alain;Rocha, Luis M","Correia, Rion Brattig;Barrat, Alain;Rocha, Luis M",NA,Plos Computational Biology,NA,19,2,1553-734X,NA,10.1371/journal.pcbi.1010854,WOS:000942233100002,EPIDEMIC PROCESSES; COMPLEX,Journal Article,ARTICLE,Biochemical Research Methods; Mathematical & Computational Biology,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Mathematical & Computational Biology
RN159,2019,City-Wide Electronic Health Records Reveal Gender And Age Biases In Administration Of Known Drug-Drug Interactions,"Brattig Correia, Rion;de Araújo Kohler, Luciana P;Mattos, Mauro M;Rocha, Luis M","Correia, Rion Brattig;de Araújo Kohler, Luciana P;Mattos, Mauro M;Rocha, Luis M",NA,NPJ Digital Medicine,NA,2,NA,2398-6352,NA,10.1038/s41746-019-0141-x,WOS:000478102700001,PRESCRIPTION; POLYPHARMACY; SIMVASTATIN; FLUOXETINE; HOSPITALS; EVENTS; UNITS; CARE,Journal Article,ARTICLE,Health Care Sciences & Services; Medical Informatics,Science Citation Index Expanded (SCI-EXPANDED),Health Care Sciences & Services; Medical Informatics
RN146,2020,Sources Of Predictive Information In Dynamical Neural Networks,"Candadai, Madhavun;Izquierdo, Eduardo J","Candadai, Madhavun;Izquierdo, Eduardo J",NA,Scientific Reports,NA,10,1,2045-2322,NA,10.1038/s41598-020-73380-x,WOS:000615373100013,TRANSFER ENTROPY; DECOMPOSITION,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics
RN128,2022,Cortico-Subcortical Interactions In Overlapping Communities Of Edge Functional Connectivity,"Chumin, Evgeny J;Faskowitz, Joshua;Esfahlani, Farnaz Zamani;Jo, Youngheun;Merritt, Haily;Tanner, Jacob;Cutts, Sarah A;Pope, Maria;Betzel, Richard;Sporns, Olaf","Chumin, Evgeny J;Faskowitz, Joshua;Esfahlani, Farnaz Zamani;Jo, Youngheun;Merritt, Haily;Tanner, Jacob C;Cutts, Sarah A;Pope, Maria;Betzel, Richard F;Sporns, Olaf",NA,Neuroimage,NA,250,NA,1053-8119,NA,10.1016/j.neuroimage.2022.118971,WOS:000766267800008,HUMAN CONNECTOME; BRAIN NETWORKS; HUMAN STRIATUM; BASAL GANGLIA; ORGANIZATION; AMYGDALA; THALAMUS; MOTIFS; ARCHITECTURE; INTEGRATION,Journal Article,ARTICLE,"Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),"Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging"
