Organization,Publications,Percent Publication
Instituto Gulbenkian de Ciencia,11,17.3
Binghamton University Suny,7,10.9
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (Capes),5,7.8
University of Cambridge,5,7.8
Northeastern University,3,4.7
Ohio State University,3,4.7
University of Washington Seattle,3,4.7
