"Co-Authorship Relationship Type","Count (2021)","Percent (2021)","Count (2024)","Percent (2024)","Growth Rate"
"Faculty-Faculty",11,2.36,15,1.86,36.36
"Faculty-Doctoral Fellow",16,3.43,30,3.72,87.5
"Faculty-Affiliate Student",14,3,15,1.86,7.14
"Faculty-Collaborator",85,18.24,150,18.61,76.47
"Doctoral Fellow-Doctoral Fellow",1,0.21,7,0.87,600
"Doctoral Fellow-Affiliate Student",6,1.29,6,0.74,0
"Doctoral Fellow-Collaborator",79,16.95,162,20.1,105.06
"Affiliate Student-Affiliate Student",1,0.21,1,0.12,0
"Affiliate Student-Collaborator",30,6.44,36,4.47,20
"Collaborator-Collaborator",223,47.85,384,47.64,72.2
