"Ethnicity","Fall 2015-2017","Fall 2018","Fall 2019","Fall 2020","Spring 2020","Fall 2021","Total"
"White",3,4,7,6,0,3,23
"Asian",2,3,1,2,1,1,10
"Black/African American",0,1,0,0,0,0,1
"Not Provided",0,0,0,1,0,0,1
"Total",5,8,8,9,1,4,35
