"Affiliation","Count"
"Complex Networks and Systems (CNS)",7
"Cognitive Science (COGS)",6
"Informatics (INFO)",6
"Psychological and Brain Sciences (PSY)",6
"Biology (BIO)",4
"Sociology (SOC)",4
"Intelligent Systems Engineering (ISE)",3
"Computer Science (CSCI)",2
"Economics (ECON)",2
"Public Health (SPH)",2
"Art History (ARTH)",1
"Classics (CLASS)",1
"Folklore (FOLK)",1
"Geography (GEOG)",1
"History & Philosophy of Sci. & Medicine (HPSC)",1
"Media Studies (MSCH)",1
"Physics (PHYS)",1
"Political Science (POLS)",1
"Statistics (STAT)",1
