Source,Target,Group,Weight,Weight_2018,Weight_2019,Weight_2020,Weight_2021,Weight_2022,Weight_2023,Weight_2024
8,171,Collaborator-Collaborator,1,0,0,1,1,1,1,1
8,199,Collaborator-Collaborator,1,0,0,1,1,1,1,1
9,104,Collaborator-Collaborator,1,0,0,0,1,1,1,1
9,112,Collaborator-Collaborator,1,0,0,0,1,1,1,1
9,160,Collaborator-Collaborator,1,0,0,0,1,1,1,1
9,224,Collaborator-Collaborator,1,0,0,0,1,1,1,1
9,227,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
10,41,Affiliate Student-Collaborator,1,0,0,0,0,0,1,1
10,163,Faculty-Collaborator,1,0,0,0,0,0,1,1
11,22,Faculty-Affiliate Student,2,0,0,0,0,1,2,2
11,48,Affiliate Student-Collaborator,1,1,1,1,1,1,1,1
11,85,Affiliate Student-Collaborator,1,1,1,1,1,1,1,1
11,192,Affiliate Student-Collaborator,1,1,1,1,1,1,1,1
11,238,Affiliate Student-Collaborator,1,0,0,0,0,0,1,1
12,54,Collaborator-Collaborator,1,0,0,0,0,0,0,1
12,62,Faculty-Collaborator,1,0,0,0,0,0,0,1
12,150,Collaborator-Collaborator,1,0,0,0,0,0,0,1
12,158,Faculty-Collaborator,1,0,0,0,0,0,0,1
13,52,Doctoral Fellow-Collaborator,1,0,0,1,1,1,1,1
13,115,Collaborator-Collaborator,1,0,0,1,1,1,1,1
13,187,Collaborator-Collaborator,1,0,0,1,1,1,1,1
13,230,Collaborator-Collaborator,1,0,0,1,1,1,1,1
14,88,Faculty-Faculty,1,0,0,0,0,0,1,1
14,196,Faculty-Collaborator,1,0,0,0,0,0,1,1
15,57,Faculty-Affiliate Student,1,0,1,1,1,1,1,1
15,63,Faculty-Collaborator,1,0,0,0,0,0,0,1
15,79,Faculty-Collaborator,1,0,0,0,0,0,0,1
15,133,Faculty-Collaborator,1,0,0,0,0,0,0,1
15,134,Faculty-Faculty,3,0,1,2,2,3,3,3
