Web of Science Categories,Publications,Percent,InterMulti
Multidisciplinary Sciences,23,35.938,1
Neurosciences,6,9.375,
Mathematical Computational Biology,5,7.813,
Physics Multidisciplinary,5,7.813,1
Biochemical Research Methods,4,6.25,
Communication,4,6.25,
Computer Science Interdisciplinary Applications,4,6.25,1
Neuroimaging,3,4.688,
Radiology Nuclear Medicine Medical Imaging,3,4.688,
Computer Science Information Systems,2,3.125,
Geography,2,3.125,
Health Care Sciences Services,2,3.125,
Mathematics Interdisciplinary Applications,2,3.125,1
Medical Informatics,2,3.125,
Psychology Clinical,2,3.125,
Regional Urban Planning,2,3.125,
Social Sciences Interdisciplinary,2,3.125,1
Agriculture Multidisciplinary,1,1.563,1
Biology,1,1.563,
Biotechnology Applied Microbiology,1,1.563,
Cell Biology,1,1.563,
Computer Science Artificial Intelligence,1,1.563,
Computer Science Cybernetics,1,1.563,
Computer Science Software Engineering,1,1.563,
Computer Science Theory Methods,1,1.563,
Developmental Biology,1,1.563,
Economics,1,1.563,
Engineering Civil,1,1.563,
Family Studies,1,1.563,
Humanities Multidisciplinary,1,1.563,1
Immunology,1,1.563,
Medicine General Internal,1,1.563,
Oncology,1,1.563,
Operations Research Management Science,1,1.563,
Pharmacology Pharmacy,1,1.563,
Physics Applied,1,1.563,
Physics Mathematical,1,1.563,
Physiology,1,1.563,
Robotics,1,1.563,
Social Issues,1,1.563,
Sociology,1,1.563,
Statistics Probability,1,1.563,
Transportation,1,1.563,
Transportation Science Technology,1,1.563,
