Affiliations,Publication,Percent,US,University,Exclude,Exclude-reason
INDIANA UNIVERSITY BLOOMINGTON,59,92.188,1,1,0,
INDIANA UNIVERSITY SYSTEM,59,92.188,1,1,1,System
INSTITUTO GULBENKIAN DE CIENCIA,11,17.188,0,0,0,
BINGHAMTON UNIVERSITY SUNY,7,10.938,1,1,0,
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM,7,10.938,1,1,1,System
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,5,7.813,0,0,0,
UNIVERSITY OF CAMBRIDGE,5,7.813,0,1,0,
NORTHEASTERN UNIVERSITY,3,4.688,1,1,0,
OHIO STATE UNIVERSITY,3,4.688,1,1,0,
UNIVERSITY OF CALIFORNIA SYSTEM,3,4.688,1,1,1,System
UNIVERSITY OF WASHINGTON,3,4.688,1,1,1,System
UNIVERSITY OF WASHINGTON SEATTLE,3,4.688,1,1,0,
UNIVERSITY SYSTEM OF OHIO,3,4.688,1,1,1,System
ALAN TURING INST,2,3.125,0,0,0,
IMPERIAL COLLEGE LONDON,2,3.125,0,1,0,
JOHNS HOPKINS UNIVERSITY,2,3.125,1,1,0,
LUSOFONA UNIVERSITY,2,3.125,0,1,0,
PURDUE UNIVERSITY,2,3.125,1,1,0,
PURDUE UNIVERSITY SYSTEM,2,3.125,1,1,1,System
TECHNISCHE UNIVERSITAT DRESDEN,2,3.125,0,1,0,
UNIVERSIDADE REGIONAL DE BLUMENAU FURB,2,3.125,0,1,0,
UNIVERSITY OF CALIFORNIA BERKELEY,2,3.125,1,1,0,
UNIVERSITY OF GEORGIA,2,3.125,1,1,0,
UNIVERSITY OF LONDON,2,3.125,0,1,0,
UNIVERSITY OF OXFORD,2,3.125,0,1,0,
UNIVERSITY OF SOUTHERN CALIFORNIA,2,3.125,1,1,0,
UNIVERSITY OF SUSSEX,2,3.125,0,1,0,
UNIVERSITY SYSTEM OF GEORGIA,2,3.125,1,1,1,System
ADDENBROOKE S HOSPITAL,1,1.563,0,0,0,
AGENCIA ESPANOLA MEDICAMENTOS PROD SANITARIOS,1,1.563,0,0,0,
AIX MARSEILLE UNIVERSITE,1,1.563,0,1,0,
ALTOS LABS,1,1.563,1,0,0,
BARCELONA SUPERCOMPUTER CENTER BSC CNS,1,1.563,0,0,0,
BOSTON UNIVERSITY,1,1.563,1,1,0,
BRIGHAM YOUNG UNIVERSITY,1,1.563,1,1,0,
CALIFORNIA STATE UNIVERSITY DOMINGUEZ HILLS,1,1.563,1,1,0,
CALIFORNIA STATE UNIVERSITY SYSTEM,1,1.563,1,1,1,System
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1,1.563,0,0,0,
CARL VON OSSIETZKY UNIVERSITAT OLDENBURG,1,1.563,0,1,0,
CARNEGIE MELLON UNIVERSITY,1,1.563,1,1,0,
CENTRAL BANK OF CHILE,1,1.563,0,0,0,
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1,1.563,0,0,0,
COLUMBIA UNIVERSITY,1,1.563,1,1,1,System
COLUMBIA UNIVERSITY TEACHERS COLLEGE,1,1.563,1,1,0,
CONSIGLIO NAZIONALE DELLE RICERCHE CNR,1,1.563,0,0,0,
CORNELL UNIVERSITY,1,1.563,1,1,0,
CTR RIC ENRICO FERMI,1,1.563,0,0,0,
DATAIKU,1,1.563,0,0,0,
DEUTSCHES PRIMATENZENTRUM DPZ,1,1.563,0,0,0,
EIDGENOSS TH ZURICH ETH,1,1.563,0,0,0,
EINDHOVEN UNIVERSITY OF TECHNOLOGY,1,1.563,0,1,0,
EXPEDIA GRP,1,1.563,1,0,0,
FLORIDA STATE UNIVERSITY,1,1.563,1,1,0,
GENENTECH,1,1.563,1,0,0,
GEORGE WASHINGTON UNIVERSITY,1,1.563,1,1,0,
GHENT UNIVERSITY,1,1.563,0,1,0,
GITHUB,1,1.563,1,0,0,
HARVARD UNIVERSITY,1,1.563,1,1,0,
