"From","To","Group","Weight"
0,4,"Collaborator-Collaborator",1
0,43,"Collaborator-Collaborator",1
0,60,"Collaborator-Collaborator",1
0,109,"Collaborator-Collaborator",1
0,126,"Collaborator-Collaborator",2
0,132,"Collaborator-Collaborator",1
0,140,"Collaborator-Collaborator",1
0,144,"Collaborator-Collaborator",1
0,153,"Collaborator-Collaborator",1
0,194,"Collaborator-Collaborator",2
0,214,"Doctoral Fellow-Collaborator",2
0,223,"Collaborator-Collaborator",1
1,64,"Faculty-Collaborator",1
1,93,"Faculty-Doctoral Fellow",1
1,119,"Faculty-Collaborator",1
1,138,"Faculty-Collaborator",1
1,139,"Faculty-Collaborator",1
1,146,"Faculty-Collaborator",1
1,152,"Faculty-Faculty",1
1,201,"Faculty-Collaborator",1
1,228,"Faculty-Affiliate Student",1
4,43,"Collaborator-Collaborator",1
4,60,"Collaborator-Collaborator",1
4,126,"Collaborator-Collaborator",1
4,153,"Collaborator-Collaborator",1
4,194,"Collaborator-Collaborator",1
4,214,"Doctoral Fellow-Collaborator",1
4,223,"Collaborator-Collaborator",1
6,30,"Collaborator-Collaborator",1
6,68,"Collaborator-Collaborator",1
6,135,"Collaborator-Collaborator",1
6,147,"Collaborator-Collaborator",1
6,203,"Collaborator-Collaborator",1
6,232,"Doctoral Fellow-Collaborator",1
7,23,"Doctoral Fellow-Collaborator",1
7,24,"Doctoral Fellow-Collaborator",1
7,27,"Doctoral Fellow-Collaborator",2
7,49,"Doctoral Fellow-Collaborator",1
7,78,"Doctoral Fellow-Collaborator",1
7,86,"Doctoral Fellow-Collaborator",1
7,108,"Doctoral Fellow-Collaborator",1
7,125,"Faculty-Doctoral Fellow",2
7,143,"Faculty-Doctoral Fellow",1
7,154,"Doctoral Fellow-Collaborator",2
7,206,"Doctoral Fellow-Collaborator",2
7,209,"Doctoral Fellow-Doctoral Fellow",1
7,228,"Doctoral Fellow-Affiliate Student",2
8,96,"Doctoral Fellow-Collaborator",1
8,167,"Collaborator-Collaborator",1
8,171,"Collaborator-Collaborator",1
8,199,"Collaborator-Collaborator",1
9,104,"Collaborator-Collaborator",1
9,112,"Collaborator-Collaborator",1
9,160,"Collaborator-Collaborator",1
9,224,"Collaborator-Collaborator",1
9,227,"Doctoral Fellow-Collaborator",1
11,48,"Affiliate Student-Collaborator",1
11,85,"Affiliate Student-Collaborator",1
11,192,"Affiliate Student-Collaborator",1
13,52,"Doctoral Fellow-Collaborator",1
13,115,"Collaborator-Collaborator",1
13,187,"Collaborator-Collaborator",1
13,230,"Collaborator-Collaborator",1
15,57,"Faculty-Affiliate Student",1
15,134,"Faculty-Faculty",2
15,156,"Faculty-Faculty",1
15,184,"Faculty-Collaborator",1
15,193,"Faculty-Faculty",1
15,204,"Faculty-Collaborator",2
15,214,"Faculty-Doctoral Fellow",1
17,34,"Doctoral Fellow-Affiliate Student",1
17,88,"Faculty-Doctoral Fellow",1
19,65,"Faculty-Collaborator",1
19,155,"Faculty-Doctoral Fellow",1
19,193,"Faculty-Faculty",1
20,69,"Collaborator-Collaborator",1
20,72,"Collaborator-Collaborator",1
20,99,"Collaborator-Collaborator",1
20,100,"Collaborator-Collaborator",1
20,111,"Faculty-Collaborator",1
20,128,"Doctoral Fellow-Collaborator",1
20,162,"Collaborator-Collaborator",1
21,58,"Collaborator-Collaborator",1
21,71,"Collaborator-Collaborator",1
21,80,"Doctoral Fellow-Collaborator",1
21,205,"Collaborator-Collaborator",1
21,217,"Collaborator-Collaborator",1
22,41,"Faculty-Affiliate Student",1
22,163,"Faculty-Faculty",1
22,225,"Faculty-Collaborator",1
23,27,"Collaborator-Collaborator",1
23,49,"Collaborator-Collaborator",1
23,108,"Collaborator-Collaborator",1
23,125,"Faculty-Collaborator",1
23,154,"Collaborator-Collaborator",1
23,206,"Collaborator-Collaborator",1
23,209,"Doctoral Fellow-Collaborator",1
23,228,"Affiliate Student-Collaborator",1
24,78,"Collaborator-Collaborator",1
24,143,"Faculty-Collaborator",1
27,49,"Collaborator-Collaborator",1
27,86,"Collaborator-Collaborator",1
27,108,"Collaborator-Collaborator",1
27,125,"Faculty-Collaborator",2
27,154,"Collaborator-Collaborator",2
27,206,"Collaborator-Collaborator",2
27,209,"Doctoral Fellow-Collaborator",1
27,228,"Affiliate Student-Collaborator",2
29,32,"Faculty-Collaborator",1
29,70,"Collaborator-Collaborator",1
30,68,"Collaborator-Collaborator",1
30,135,"Collaborator-Collaborator",1
30,147,"Collaborator-Collaborator",1
30,203,"Collaborator-Collaborator",1
30,232,"Doctoral Fellow-Collaborator",1
32,41,"Faculty-Affiliate Student",1
32,47,"Faculty-Collaborator",1
32,66,"Faculty-Collaborator",1
32,70,"Faculty-Collaborator",1
32,82,"Faculty-Collaborator",1
32,113,"Faculty-Collaborator",1
32,129,"Faculty-Collaborator",1
32,130,"Faculty-Faculty",2
32,131,"Faculty-Affiliate Student",1
32,163,"Faculty-Faculty",1
32,168,"Faculty-Collaborator",1
32,175,"Faculty-Collaborator",1
32,185,"Faculty-Collaborator",1
32,188,"Faculty-Collaborator",1
32,195,"Faculty-Collaborator",1
32,198,"Faculty-Collaborator",1
32,207,"Faculty-Collaborator",1
32,208,"Faculty-Collaborator",1
32,211,"Faculty-Collaborator",1
32,236,"Faculty-Collaborator",1
34,88,"Faculty-Affiliate Student",2
35,126,"Collaborator-Collaborator",1
35,166,"Collaborator-Collaborator",1
35,194,"Collaborator-Collaborator",1
35,214,"Doctoral Fellow-Collaborator",1
39,61,"Faculty-Collaborator",1
39,125,"Faculty-Collaborator",1
39,180,"Collaborator-Collaborator",1
39,215,"Collaborator-Collaborator",1
39,228,"Affiliate Student-Collaborator",1
40,52,"Doctoral Fellow-Collaborator",1
40,190,"Collaborator-Collaborator",1
41,67,"Affiliate Student-Collaborator",2
41,120,"Affiliate Student-Collaborator",1
41,129,"Affiliate Student-Collaborator",1
41,131,"Affiliate Student-Affiliate Student",1
41,163,"Faculty-Affiliate Student",6
41,185,"Affiliate Student-Collaborator",1
41,189,"Affiliate Student-Collaborator",1
41,220,"Doctoral Fellow-Affiliate Student",2
41,225,"Affiliate Student-Collaborator",1
41,237,"Affiliate Student-Collaborator",1
43,60,"Collaborator-Collaborator",1
43,126,"Collaborator-Collaborator",1
43,153,"Collaborator-Collaborator",1
43,194,"Collaborator-Collaborator",1
43,214,"Doctoral Fellow-Collaborator",1
43,223,"Collaborator-Collaborator",1
47,66,"Collaborator-Collaborator",1
47,82,"Collaborator-Collaborator",1
47,198,"Collaborator-Collaborator",1
48,85,"Collaborator-Collaborator",1
48,192,"Collaborator-Collaborator",1
49,108,"Collaborator-Collaborator",1
49,125,"Faculty-Collaborator",1
49,154,"Collaborator-Collaborator",1
49,206,"Collaborator-Collaborator",1
49,209,"Doctoral Fellow-Collaborator",1
49,228,"Affiliate Student-Collaborator",1
50,149,"Collaborator-Collaborator",1
50,193,"Faculty-Collaborator",1
50,214,"Doctoral Fellow-Collaborator",1
51,111,"Faculty-Collaborator",1
51,128,"Doctoral Fellow-Collaborator",1
52,115,"Doctoral Fellow-Collaborator",1
52,187,"Doctoral Fellow-Collaborator",1
52,190,"Doctoral Fellow-Collaborator",1
52,230,"Doctoral Fellow-Collaborator",1
57,134,"Faculty-Affiliate Student",1
57,204,"Affiliate Student-Collaborator",1
58,71,"Collaborator-Collaborator",1
