"From","To","Group","Weight"
58,80,"Doctoral Fellow-Collaborator",1
58,205,"Collaborator-Collaborator",1
58,217,"Collaborator-Collaborator",1
60,126,"Collaborator-Collaborator",1
60,153,"Collaborator-Collaborator",1
60,194,"Collaborator-Collaborator",1
60,214,"Doctoral Fellow-Collaborator",1
60,223,"Collaborator-Collaborator",1
61,86,"Faculty-Collaborator",1
61,125,"Faculty-Faculty",2
61,142,"Faculty-Collaborator",1
61,180,"Faculty-Collaborator",1
61,206,"Faculty-Collaborator",1
61,209,"Faculty-Doctoral Fellow",1
61,215,"Faculty-Collaborator",1
61,228,"Faculty-Affiliate Student",1
64,93,"Doctoral Fellow-Collaborator",1
64,119,"Collaborator-Collaborator",1
64,138,"Collaborator-Collaborator",1
64,139,"Collaborator-Collaborator",1
64,146,"Collaborator-Collaborator",1
64,152,"Faculty-Collaborator",1
64,201,"Collaborator-Collaborator",1
64,228,"Affiliate Student-Collaborator",1
65,155,"Doctoral Fellow-Collaborator",1
65,193,"Faculty-Collaborator",1
66,82,"Collaborator-Collaborator",1
66,198,"Collaborator-Collaborator",1
67,163,"Faculty-Collaborator",2
67,220,"Doctoral Fellow-Collaborator",2
68,135,"Collaborator-Collaborator",1
68,147,"Collaborator-Collaborator",1
68,203,"Collaborator-Collaborator",1
68,232,"Doctoral Fellow-Collaborator",1
69,72,"Collaborator-Collaborator",1
69,99,"Collaborator-Collaborator",1
69,100,"Collaborator-Collaborator",1
69,111,"Faculty-Collaborator",1
69,128,"Doctoral Fellow-Collaborator",1
69,162,"Collaborator-Collaborator",1
71,80,"Doctoral Fellow-Collaborator",1
71,205,"Collaborator-Collaborator",1
71,217,"Collaborator-Collaborator",1
72,99,"Collaborator-Collaborator",1
72,100,"Collaborator-Collaborator",1
72,111,"Faculty-Collaborator",1
72,128,"Doctoral Fellow-Collaborator",1
72,162,"Collaborator-Collaborator",1
78,143,"Faculty-Collaborator",1
80,205,"Doctoral Fellow-Collaborator",1
80,217,"Doctoral Fellow-Collaborator",1
81,111,"Faculty-Collaborator",1
81,128,"Doctoral Fellow-Collaborator",1
81,221,"Collaborator-Collaborator",1
82,198,"Collaborator-Collaborator",1
85,192,"Collaborator-Collaborator",1
86,125,"Faculty-Collaborator",2
86,142,"Collaborator-Collaborator",1
86,154,"Collaborator-Collaborator",1
86,206,"Collaborator-Collaborator",2
86,209,"Doctoral Fellow-Collaborator",1
86,228,"Affiliate Student-Collaborator",1
88,110,"Faculty-Affiliate Student",1
88,205,"Faculty-Collaborator",1
93,119,"Doctoral Fellow-Collaborator",1
93,138,"Doctoral Fellow-Collaborator",1
93,139,"Doctoral Fellow-Collaborator",1
93,146,"Doctoral Fellow-Collaborator",1
93,152,"Faculty-Doctoral Fellow",1
93,201,"Doctoral Fellow-Collaborator",1
93,228,"Doctoral Fellow-Affiliate Student",1
96,167,"Doctoral Fellow-Collaborator",1
96,171,"Doctoral Fellow-Collaborator",1
96,199,"Doctoral Fellow-Collaborator",1
99,100,"Collaborator-Collaborator",1
99,111,"Faculty-Collaborator",1
99,128,"Doctoral Fellow-Collaborator",1
99,162,"Collaborator-Collaborator",1
100,111,"Faculty-Collaborator",1
100,128,"Doctoral Fellow-Collaborator",1
100,162,"Collaborator-Collaborator",1
103,136,"Collaborator-Collaborator",1
103,157,"Collaborator-Collaborator",1
103,163,"Faculty-Collaborator",1
103,181,"Collaborator-Collaborator",1
103,183,"Collaborator-Collaborator",1
103,219,"Collaborator-Collaborator",1
103,226,"Collaborator-Collaborator",1
103,231,"Collaborator-Collaborator",1
103,233,"Collaborator-Collaborator",1
103,234,"Collaborator-Collaborator",1
104,112,"Collaborator-Collaborator",1
104,160,"Collaborator-Collaborator",1
104,224,"Collaborator-Collaborator",1
104,227,"Doctoral Fellow-Collaborator",1
105,151,"Collaborator-Collaborator",1
105,227,"Doctoral Fellow-Collaborator",1
105,235,"Collaborator-Collaborator",1
108,125,"Faculty-Collaborator",1
108,154,"Collaborator-Collaborator",1
108,206,"Collaborator-Collaborator",1
108,209,"Doctoral Fellow-Collaborator",1
108,228,"Affiliate Student-Collaborator",1
109,126,"Collaborator-Collaborator",1
109,132,"Collaborator-Collaborator",1
109,140,"Collaborator-Collaborator",1
109,144,"Collaborator-Collaborator",1
109,194,"Collaborator-Collaborator",1
109,214,"Doctoral Fellow-Collaborator",1
110,205,"Affiliate Student-Collaborator",1
111,128,"Faculty-Doctoral Fellow",3
111,162,"Faculty-Collaborator",1
111,221,"Faculty-Collaborator",1
112,160,"Collaborator-Collaborator",1
112,224,"Collaborator-Collaborator",1
112,227,"Doctoral Fellow-Collaborator",1
113,211,"Collaborator-Collaborator",1
113,236,"Collaborator-Collaborator",1
115,187,"Collaborator-Collaborator",1
115,230,"Collaborator-Collaborator",1
119,138,"Collaborator-Collaborator",1
119,139,"Collaborator-Collaborator",1
119,146,"Collaborator-Collaborator",1
119,152,"Faculty-Collaborator",1
119,201,"Collaborator-Collaborator",1
119,228,"Affiliate Student-Collaborator",1
120,163,"Faculty-Collaborator",1
120,237,"Collaborator-Collaborator",1
125,142,"Faculty-Collaborator",1
125,154,"Faculty-Collaborator",2
125,179,"Faculty-Faculty",1
125,180,"Faculty-Collaborator",1
125,206,"Faculty-Collaborator",3
125,209,"Faculty-Doctoral Fellow",2
125,215,"Faculty-Collaborator",1
125,227,"Faculty-Doctoral Fellow",1
125,228,"Faculty-Affiliate Student",4
126,132,"Collaborator-Collaborator",1
126,140,"Collaborator-Collaborator",1
126,144,"Collaborator-Collaborator",1
126,153,"Collaborator-Collaborator",1
126,166,"Collaborator-Collaborator",1
126,194,"Collaborator-Collaborator",3
126,214,"Doctoral Fellow-Collaborator",3
126,223,"Collaborator-Collaborator",1
128,162,"Doctoral Fellow-Collaborator",1
128,221,"Doctoral Fellow-Collaborator",1
129,131,"Affiliate Student-Collaborator",1
129,163,"Faculty-Collaborator",1
129,185,"Collaborator-Collaborator",1
130,188,"Faculty-Collaborator",1
131,163,"Faculty-Affiliate Student",1
131,185,"Affiliate Student-Collaborator",1
132,140,"Collaborator-Collaborator",1
132,144,"Collaborator-Collaborator",1
132,194,"Collaborator-Collaborator",1
132,214,"Doctoral Fellow-Collaborator",1
134,184,"Faculty-Collaborator",1
134,204,"Faculty-Collaborator",2
135,147,"Collaborator-Collaborator",1
135,203,"Collaborator-Collaborator",1
135,232,"Doctoral Fellow-Collaborator",1
136,157,"Collaborator-Collaborator",1
136,163,"Faculty-Collaborator",1
136,181,"Collaborator-Collaborator",1
136,183,"Collaborator-Collaborator",1
136,219,"Collaborator-Collaborator",1
136,226,"Collaborator-Collaborator",1
136,231,"Collaborator-Collaborator",1
136,233,"Collaborator-Collaborator",1
136,234,"Collaborator-Collaborator",1
138,139,"Collaborator-Collaborator",1
138,146,"Collaborator-Collaborator",1
138,152,"Faculty-Collaborator",1
138,201,"Collaborator-Collaborator",1
138,228,"Affiliate Student-Collaborator",1
139,146,"Collaborator-Collaborator",1
139,152,"Faculty-Collaborator",1
139,201,"Collaborator-Collaborator",1
139,228,"Affiliate Student-Collaborator",1
140,144,"Collaborator-Collaborator",1
140,194,"Collaborator-Collaborator",1
140,214,"Doctoral Fellow-Collaborator",1
142,206,"Collaborator-Collaborator",1
142,209,"Doctoral Fellow-Collaborator",1
144,194,"Collaborator-Collaborator",1
144,214,"Doctoral Fellow-Collaborator",1
146,152,"Faculty-Collaborator",1
146,201,"Collaborator-Collaborator",1
146,228,"Affiliate Student-Collaborator",1
147,203,"Collaborator-Collaborator",1
147,232,"Doctoral Fellow-Collaborator",1
149,193,"Faculty-Collaborator",1
149,214,"Doctoral Fellow-Collaborator",1
151,227,"Doctoral Fellow-Collaborator",1
151,235,"Collaborator-Collaborator",1
152,201,"Faculty-Collaborator",1
152,228,"Faculty-Affiliate Student",1
153,194,"Collaborator-Collaborator",1
153,214,"Doctoral Fellow-Collaborator",1
153,223,"Collaborator-Collaborator",1
154,206,"Collaborator-Collaborator",2
154,209,"Doctoral Fellow-Collaborator",1
154,228,"Affiliate Student-Collaborator",2
155,193,"Faculty-Doctoral Fellow",1
156,193,"Faculty-Faculty",1
156,214,"Faculty-Doctoral Fellow",1
157,163,"Faculty-Collaborator",1
157,181,"Collaborator-Collaborator",1
157,183,"Collaborator-Collaborator",1
157,219,"Collaborator-Collaborator",1
157,226,"Collaborator-Collaborator",1
157,231,"Collaborator-Collaborator",1
157,233,"Collaborator-Collaborator",1
157,234,"Collaborator-Collaborator",1
160,224,"Collaborator-Collaborator",1
160,227,"Doctoral Fellow-Collaborator",1
163,181,"Faculty-Collaborator",1
163,183,"Faculty-Collaborator",1
163,185,"Faculty-Collaborator",1
163,189,"Faculty-Collaborator",1
163,219,"Faculty-Collaborator",1
163,220,"Faculty-Doctoral Fellow",2
163,225,"Faculty-Collaborator",1
163,226,"Faculty-Collaborator",1
163,231,"Faculty-Collaborator",1
163,233,"Faculty-Collaborator",1
163,234,"Faculty-Collaborator",1
163,237,"Faculty-Collaborator",1
166,194,"Collaborator-Collaborator",1
166,214,"Doctoral Fellow-Collaborator",1
167,171,"Collaborator-Collaborator",1
167,199,"Collaborator-Collaborator",1
168,195,"Collaborator-Collaborator",1
168,208,"Collaborator-Collaborator",1
171,199,"Collaborator-Collaborator",1
175,207,"Collaborator-Collaborator",1
179,227,"Faculty-Doctoral Fellow",1
179,228,"Faculty-Affiliate Student",1
180,215,"Collaborator-Collaborator",1
180,228,"Affiliate Student-Collaborator",1
181,183,"Collaborator-Collaborator",1
181,219,"Collaborator-Collaborator",1
181,226,"Collaborator-Collaborator",1
181,231,"Collaborator-Collaborator",1
181,233,"Collaborator-Collaborator",1
181,234,"Collaborator-Collaborator",1
183,219,"Collaborator-Collaborator",1
183,226,"Collaborator-Collaborator",1
183,231,"Collaborator-Collaborator",1
183,233,"Collaborator-Collaborator",1
183,234,"Collaborator-Collaborator",1
184,204,"Collaborator-Collaborator",1
187,230,"Collaborator-Collaborator",1
193,214,"Faculty-Doctoral Fellow",2
194,214,"Doctoral Fellow-Collaborator",3
194,223,"Collaborator-Collaborator",1
195,208,"Collaborator-Collaborator",1
201,228,"Affiliate Student-Collaborator",1
203,232,"Doctoral Fellow-Collaborator",1
205,217,"Collaborator-Collaborator",1
206,209,"Doctoral Fellow-Collaborator",2
206,228,"Affiliate Student-Collaborator",2
209,228,"Doctoral Fellow-Affiliate Student",1
211,236,"Collaborator-Collaborator",1
214,223,"Doctoral Fellow-Collaborator",1
215,228,"Affiliate Student-Collaborator",1
219,226,"Collaborator-Collaborator",1
219,231,"Collaborator-Collaborator",1
219,233,"Collaborator-Collaborator",1
219,234,"Collaborator-Collaborator",1
224,227,"Doctoral Fellow-Collaborator",1
226,231,"Collaborator-Collaborator",1
226,233,"Collaborator-Collaborator",1
226,234,"Collaborator-Collaborator",1
227,228,"Doctoral Fellow-Affiliate Student",1
227,235,"Doctoral Fellow-Collaborator",1
231,233,"Collaborator-Collaborator",1
231,234,"Collaborator-Collaborator",1
233,234,"Collaborator-Collaborator",1
