"Id","Label","Group","Cohort","First_year","Pubs","Cum_Pubs_2018","Cum_Pubs_2019","Cum_Pubs_2020","Cum_Pubs_2021","Cum_Pubs_2022","Cum_Pubs_2023","Cum_Pubs_2024"
97,"Collaborator 125","Collaborator",NA,2022,1,0,0,0,0,1,1,1
98,"Collaborator 126","Collaborator",NA,2022,1,0,0,0,0,1,1,1
99,"Collaborator 87","Collaborator",NA,2021,1,0,0,0,1,1,1,1
100,"Collaborator 88","Collaborator",NA,2021,1,0,0,0,1,1,1,1
101,"Collaborator 180","Collaborator",NA,2024,1,0,0,0,0,0,0,1
102,"Collaborator 181","Collaborator",NA,2024,1,0,0,0,0,0,0,1
103,"Collaborator 41","Collaborator",NA,2020,1,0,0,1,1,1,1,1
104,"Collaborator 89","Collaborator",NA,2021,1,0,0,0,1,1,1,1
105,"Collaborator 90","Collaborator",NA,2021,1,0,0,0,1,1,1,1
106,"Collaborator 127","Collaborator",NA,2022,1,0,0,0,0,1,1,1
107,"Collaborator 128","Collaborator",NA,2022,1,0,0,0,0,1,1,1
108,"Collaborator 91","Collaborator",NA,2021,1,0,0,0,1,1,1,1
109,"Collaborator 42","Collaborator",NA,2020,2,0,0,1,1,2,2,2
110,"Affiliate Student 6","Affiliate Student","2019",2020,1,0,0,1,1,1,1,1
111,"Faculty 7","Faculty",NA,2019,4,0,1,1,3,3,3,4
112,"Collaborator 92","Collaborator",NA,2021,1,0,0,0,1,1,1,1
113,"Collaborator 6","Collaborator",NA,2018,1,1,1,1,1,1,1,1
114,"Collaborator 129","Collaborator",NA,2022,1,0,0,0,0,1,1,1
115,"Collaborator 43","Collaborator",NA,2020,1,0,0,1,1,1,1,1
116,"Collaborator 154","Collaborator",NA,2023,1,0,0,0,0,0,1,1
117,"Collaborator 130","Collaborator",NA,2022,1,0,0,0,0,1,1,1
118,"Collaborator 131","Collaborator",NA,2022,1,0,0,0,0,1,1,1
119,"Collaborator 20","Collaborator",NA,2019,1,0,1,1,1,1,1,1
120,"Collaborator 21","Collaborator",NA,2019,2,0,1,1,1,1,1,2
121,"Collaborator 132","Collaborator",NA,2022,1,0,0,0,0,1,1,1
122,"Doctoral Fellow 4","Doctoral Fellow","2017",2019,1,0,1,1,1,1,1,1
123,"Collaborator 133","Collaborator",NA,2022,1,0,0,0,0,1,1,1
124,"Faculty 19","Faculty",NA,2022,1,0,0,0,0,1,1,1
125,"Faculty 3","Faculty",NA,2018,5,1,1,1,5,5,5,5
126,"Collaborator 44","Collaborator",NA,2020,3,0,0,3,3,3,3,3
127,"Doctoral Fellow 16","Doctoral Fellow","2020",2022,4,0,0,0,0,2,3,4
128,"Doctoral Fellow 5","Doctoral Fellow","2019",2019,5,0,1,1,3,3,3,5
129,"Collaborator 93","Collaborator",NA,2021,2,0,0,0,1,1,2,2
130,"Faculty 8","Faculty",NA,2019,2,0,1,1,2,2,2,2
131,"Affiliate Student 7","Affiliate Student","2020",2021,3,0,0,0,2,2,3,3
132,"Collaborator 45","Collaborator",NA,2020,1,0,0,1,1,1,1,1
133,"Collaborator 182","Collaborator",NA,2024,1,0,0,0,0,0,0,1
134,"Faculty 9","Faculty",NA,2019,3,0,1,2,2,3,3,3
135,"Collaborator 94","Collaborator",NA,2021,1,0,0,0,1,1,1,1
136,"Collaborator 46","Collaborator",NA,2020,1,0,0,1,1,1,1,1
137,"Collaborator 134","Collaborator",NA,2022,1,0,0,0,0,1,1,1
138,"Collaborator 22","Collaborator",NA,2019,1,0,1,1,1,1,1,1
139,"Collaborator 23","Collaborator",NA,2019,1,0,1,1,1,1,1,1
140,"Collaborator 47","Collaborator",NA,2020,1,0,0,1,1,1,1,1
141,"Collaborator 183","Collaborator",NA,2024,1,0,0,0,0,0,0,1
142,"Collaborator 95","Collaborator",NA,2021,1,0,0,0,1,1,1,1
143,"Faculty 13","Faculty",NA,2020,1,0,0,1,1,1,1,1
144,"Collaborator 48","Collaborator",NA,2020,1,0,0,1,1,1,1,1
145,"Collaborator 135","Collaborator",NA,2022,1,0,0,0,0,1,1,1
146,"Collaborator 24","Collaborator",NA,2019,1,0,1,1,1,1,1,1
147,"Collaborator 96","Collaborator",NA,2021,1,0,0,0,1,1,1,1
148,"Collaborator 136","Collaborator",NA,2022,1,0,0,0,0,1,1,1
149,"Collaborator 97","Collaborator",NA,2021,1,0,0,0,1,1,1,1
150,"Collaborator 155","Collaborator",NA,2023,2,0,0,0,0,0,1,2
151,"Collaborator 98","Collaborator",NA,2021,1,0,0,0,1,1,1,1
152,"Faculty 10","Faculty",NA,2019,2,0,1,1,1,1,2,2
153,"Collaborator 49","Collaborator",NA,2020,1,0,0,1,1,1,1,1
154,"Collaborator 99","Collaborator",NA,2021,2,0,0,0,2,2,2,2
155,"Doctoral Fellow 12","Doctoral Fellow","2020",2021,6,0,0,0,1,2,5,6
156,"Faculty 14","Faculty",NA,2020,1,0,0,1,1,1,1,1
157,"Collaborator 50","Collaborator",NA,2020,1,0,0,1,1,1,1,1
158,"Faculty 20","Faculty",NA,2022,3,0,0,0,0,1,2,3
159,"Doctoral Fellow 18","Doctoral Fellow","2020",2023,1,0,0,0,0,0,1,1
160,"Collaborator 100","Collaborator",NA,2021,2,0,0,0,1,2,2,2
161,"Collaborator 137","Collaborator",NA,2022,1,0,0,0,0,1,1,1
162,"Collaborator 101","Collaborator",NA,2021,1,0,0,0,1,1,1,1
163,"Faculty 4","Faculty",NA,2018,13,1,2,4,7,9,12,13
164,"Faculty 21","Faculty",NA,2022,1,0,0,0,0,1,1,1
165,"Collaborator 138","Collaborator",NA,2022,1,0,0,0,0,1,1,1
166,"Collaborator 51","Collaborator",NA,2020,1,0,0,1,1,1,1,1
167,"Collaborator 52","Collaborator",NA,2020,1,0,0,1,1,1,1,1
168,"Collaborator 7","Collaborator",NA,2018,1,1,1,1,1,1,1,1
169,"Collaborator 156","Collaborator",NA,2023,1,0,0,0,0,0,1,1
170,"Collaborator 184","Collaborator",NA,2024,1,0,0,0,0,0,0,1
171,"Collaborator 53","Collaborator",NA,2020,2,0,0,1,1,2,2,2
172,"Collaborator 157","Collaborator",NA,2023,1,0,0,0,0,0,1,1
173,"Collaborator 158","Collaborator",NA,2023,1,0,0,0,0,0,1,1
174,"Collaborator 139","Collaborator",NA,2022,1,0,0,0,0,1,1,1
175,"Collaborator 102","Collaborator",NA,2021,1,0,0,0,1,1,1,1
176,"Collaborator 159","Collaborator",NA,2023,1,0,0,0,0,0,1,1
177,"Collaborator 140","Collaborator",NA,2022,1,0,0,0,0,1,1,1
178,"Collaborator 141","Collaborator",NA,2022,2,0,0,0,0,1,2,2
179,"Faculty 17","Faculty",NA,2021,1,0,0,0,1,1,1,1
180,"Collaborator 8","Collaborator",NA,2018,1,1,1,1,1,1,1,1
181,"Collaborator 54","Collaborator",NA,2020,1,0,0,1,1,1,1,1
182,"Faculty 24","Faculty",NA,2023,1,0,0,0,0,0,1,1
183,"Collaborator 55","Collaborator",NA,2020,1,0,0,1,1,1,1,1
184,"Collaborator 56","Collaborator",NA,2020,2,0,0,1,1,2,2,2
185,"Collaborator 103","Collaborator",NA,2021,2,0,0,0,1,1,2,2
186,"Collaborator 185","Collaborator",NA,2024,1,0,0,0,0,0,0,1
187,"Collaborator 57","Collaborator",NA,2020,1,0,0,1,1,1,1,1
188,"Collaborator 104","Collaborator",NA,2021,1,0,0,0,1,1,1,1
189,"Collaborator 105","Collaborator",NA,2021,1,0,0,0,1,1,1,1
190,"Collaborator 9","Collaborator",NA,2018,1,1,1,1,1,1,1,1
191,"Collaborator 142","Collaborator",NA,2022,1,0,0,0,0,1,1,1
192,"Collaborator 10","Collaborator",NA,2018,1,1,1,1,1,1,1,1
193,"Faculty 15","Faculty",NA,2020,10,0,0,1,3,5,10,10
194,"Collaborator 58","Collaborator",NA,2020,3,0,0,3,3,3,3,3
195,"Collaborator 11","Collaborator",NA,2018,1,1,1,1,1,1,1,1
196,"Collaborator 160","Collaborator",NA,2023,1,0,0,0,0,0,1,1
197,"Collaborator 143","Collaborator",NA,2022,1,0,0,0,0,1,1,1
198,"Collaborator 59","Collaborator",NA,2020,1,0,0,1,1,1,1,1
199,"Collaborator 60","Collaborator",NA,2020,1,0,0,1,1,1,1,1
200,"Collaborator 186","Collaborator",NA,2024,1,0,0,0,0,0,0,1
201,"Collaborator 25","Collaborator",NA,2019,1,0,1,1,1,1,1,1
202,"Doctoral Fellow 17","Doctoral Fellow","2020",2022,2,0,0,0,0,1,2,2
203,"Collaborator 106","Collaborator",NA,2021,1,0,0,0,1,1,1,1
204,"Collaborator 26","Collaborator",NA,2019,2,0,1,2,2,2,2,2
205,"Collaborator 61","Collaborator",NA,2020,2,0,0,1,2,2,2,2
206,"Collaborator 107","Collaborator",NA,2021,3,0,0,0,3,3,3,3
207,"Collaborator 108","Collaborator",NA,2021,1,0,0,0,1,1,1,1
208,"Collaborator 12","Collaborator",NA,2018,1,1,1,1,1,1,1,1
209,"Doctoral Fellow 13","Doctoral Fellow","2019",2021,2,0,0,0,2,2,2,2
210,"Collaborator 187","Collaborator",NA,2024,1,0,0,0,0,0,0,1
211,"Collaborator 13","Collaborator",NA,2018,1,1,1,1,1,1,1,1
212,"Collaborator 161","Collaborator",NA,2023,1,0,0,0,0,0,1,1
213,"Collaborator 188","Collaborator",NA,2024,1,0,0,0,0,0,0,1
214,"Doctoral Fellow 10","Doctoral Fellow","2018",2020,17,0,0,4,5,11,16,17
215,"Collaborator 14","Collaborator",NA,2018,1,1,1,1,1,1,1,1
216,"Collaborator 144","Collaborator",NA,2022,1,0,0,0,0,1,1,1
217,"Collaborator 109","Collaborator",NA,2021,2,0,0,0,1,1,2,2
218,"Collaborator 162","Collaborator",NA,2023,1,0,0,0,0,0,1,1
219,"Collaborator 62","Collaborator",NA,2020,1,0,0,1,1,1,1,1
220,"Doctoral Fellow 2","Doctoral Fellow","2021",2018,2,1,1,1,2,2,2,2
221,"Collaborator 27","Collaborator",NA,2019,1,0,1,1,1,1,1,1
222,"Collaborator 189","Collaborator",NA,2024,1,0,0,0,0,0,0,1
223,"Collaborator 63","Collaborator",NA,2020,1,0,0,1,1,1,1,1
224,"Collaborator 110","Collaborator",NA,2021,1,0,0,0,1,1,1,1
225,"Collaborator 64","Collaborator",NA,2020,1,0,0,1,1,1,1,1
226,"Collaborator 65","Collaborator",NA,2020,1,0,0,1,1,1,1,1
227,"Doctoral Fellow 6","Doctoral Fellow","2018",2019,6,0,1,1,4,6,6,6
228,"Affiliate Student 3","Affiliate Student","2018",2018,5,1,2,2,5,5,5,5
229,"Collaborator 190","Collaborator",NA,2024,1,0,0,0,0,0,0,1
230,"Collaborator 66","Collaborator",NA,2020,1,0,0,1,1,1,1,1
231,"Collaborator 67","Collaborator",NA,2020,1,0,0,1,1,1,1,1
232,"Doctoral Fellow 14","Doctoral Fellow","2020",2021,2,0,0,0,1,2,2,2
233,"Collaborator 68","Collaborator",NA,2020,1,0,0,1,1,1,1,1
234,"Collaborator 69","Collaborator",NA,2020,1,0,0,1,1,1,1,1
235,"Collaborator 111","Collaborator",NA,2021,1,0,0,0,1,1,1,1
236,"Collaborator 15","Collaborator",NA,2018,1,1,1,1,1,1,1,1
237,"Collaborator 28","Collaborator",NA,2019,1,0,1,1,1,1,1,1
238,"Collaborator 163","Collaborator",NA,2023,1,0,0,0,0,0,1,1
