"Id","Label","x","y"
142,"Collaborator 95",205.989334,672.511292
143,"Faculty 13",-36.949936,713.077637
144,"Collaborator 48",493.536316,-452.94223
146,"Collaborator 24",188.22551,380.833893
147,"Collaborator 96",-545.623108,-407.408051
149,"Collaborator 97",358.163452,-298.569244
151,"Collaborator 98",-133.773697,510.03244
152,"Faculty 10",253.693176,331.317535
153,"Collaborator 49",387.48761,-524.272949
154,"Collaborator 99",119.95636,661.911133
155,"Doctoral Fellow 12",326.415619,-167.27301
156,"Faculty 14",378.113708,-268.047546
157,"Collaborator 50",-690.009033,115.931953
160,"Collaborator 100",-223.438812,404.152771
162,"Collaborator 101",-65.501671,-672.29364
163,"Faculty 4",-525.031677,26.875471
166,"Collaborator 51",431.84314,-402.107544
167,"Collaborator 52",-592.800415,467.035553
168,"Collaborator 7",-273.090332,-133.336578
171,"Collaborator 53",-614.309143,475.381531
175,"Collaborator 102",-206.420319,38.74057
179,"Faculty 17",1.634974,498.259735
180,"Collaborator 8",217.982254,528.125854
181,"Collaborator 54",-720.002747,63.924587
183,"Collaborator 55",-728.76709,122.845375
184,"Collaborator 56",545.220703,-233.781555
185,"Collaborator 103",-393.141205,24.013107
187,"Collaborator 57",-343.556793,649.844238
188,"Collaborator 104",-249.561188,69.15995
189,"Collaborator 105",-444.131744,-96.601089
190,"Collaborator 9",-278.174133,632.199097
192,"Collaborator 10",-495.345825,309.466461
193,"Faculty 15",292.137543,-255.779968
194,"Collaborator 58",435.439972,-464.31308
195,"Collaborator 11",-271.176544,-119.794106
198,"Collaborator 59",-178.160431,-51.681698
199,"Collaborator 60",-576.632935,462.034973
201,"Collaborator 25",225.17424,411.405548
203,"Collaborator 106",-544.351257,-387.891602
204,"Collaborator 26",577.804443,-170.097
205,"Collaborator 61",447.686676,165.016403
206,"Collaborator 107",161.565842,668.94873
207,"Collaborator 108",-194.905472,35.383446
208,"Collaborator 12",-258.962402,-129.988602
209,"Doctoral Fellow 13",151.209213,704.17749
211,"Collaborator 13",-201.239914,-126.662735
214,"Doctoral Fellow 10",430.796051,-319.051483
215,"Collaborator 14",209.272614,546.76886
217,"Collaborator 109",465.65451,250.985352
219,"Collaborator 62",-761.524597,120.587334
220,"Doctoral Fellow 2",-509.590088,-47.594067
221,"Collaborator 27",-75.618378,-522.312073
223,"Collaborator 63",362.065247,-553.309814
224,"Collaborator 110",-225.60965,470.865936
225,"Collaborator 64",-442.951843,124.35714
226,"Collaborator 65",-750.741272,148.690079
227,"Doctoral Fellow 6",-160.124207,469.324188
228,"Affiliate Student 3",147.018829,510.911072
230,"Collaborator 66",-327.180939,643.682861
231,"Collaborator 67",-753.586914,66.471039
232,"Doctoral Fellow 14",-589.630737,-441.455475
233,"Collaborator 68",-708.636719,150.940521
234,"Collaborator 69",-768.624451,92.009087
235,"Collaborator 111",-137.286514,534.138062
236,"Collaborator 15",-210.693634,-140.370712
237,"Collaborator 28",-478.168457,-117.167458
