"Name","Label","Label2","Group","Cohort","First_year","Pubs"
0,"Collaborator 29","","Collaborator",NA,2020,2
1,"Faculty 5","","Faculty",NA,2019,1
4,"Collaborator 30","","Collaborator",NA,2020,1
6,"Collaborator 70","","Collaborator",NA,2021,1
7,"Doctoral Fellow 7","","Doctoral Fellow","2019",2020,3
8,"Collaborator 31","","Collaborator",NA,2020,1
9,"Collaborator 71","","Collaborator",NA,2021,1
11,"Affiliate Student 1","","Affiliate Student","2019-2020",2018,1
13,"Collaborator 32","","Collaborator",NA,2020,1
15,"Faculty 6","Faculty 6","Faculty",NA,2019,3
17,"Doctoral Fellow 8","","Doctoral Fellow","2019",2020,1
19,"Faculty 16","Faculty 16","Faculty",NA,2021,1
20,"Collaborator 72","","Collaborator",NA,2021,1
21,"Collaborator 73","","Collaborator",NA,2021,1
22,"Faculty 11","Faculty 11","Faculty",NA,2020,1
23,"Collaborator 74","","Collaborator",NA,2021,1
24,"Collaborator 33","","Collaborator",NA,2020,1
27,"Collaborator 75","","Collaborator",NA,2021,2
29,"Collaborator 16","","Collaborator",NA,2019,1
30,"Collaborator 76","","Collaborator",NA,2021,1
32,"Faculty 1","Faculty 1","Faculty",NA,2018,9
34,"Affiliate Student 5","","Affiliate Student","2019",2020,2
35,"Collaborator 34","","Collaborator",NA,2020,1
39,"Collaborator 1","","Collaborator",NA,2018,1
40,"Collaborator 2","","Collaborator",NA,2018,1
41,"Affiliate Student 2","Affiliate Student 2","Affiliate Student","2018",2018,6
43,"Collaborator 35","","Collaborator",NA,2020,1
47,"Collaborator 36","","Collaborator",NA,2020,1
48,"Collaborator 3","","Collaborator",NA,2018,1
49,"Collaborator 77","","Collaborator",NA,2021,1
50,"Collaborator 78","","Collaborator",NA,2021,1
51,"Collaborator 79","","Collaborator",NA,2021,1
52,"Doctoral Fellow 1","","Doctoral Fellow","2017",2018,2
57,"Affiliate Student 4","","Affiliate Student","2018",2019,1
58,"Collaborator 80","","Collaborator",NA,2021,1
60,"Collaborator 37","","Collaborator",NA,2020,1
61,"Faculty 2","Faculty 2","Faculty",NA,2018,2
64,"Collaborator 17","","Collaborator",NA,2019,1
65,"Collaborator 81","","Collaborator",NA,2021,1
66,"Collaborator 38","","Collaborator",NA,2020,1
67,"Collaborator 4","","Collaborator",NA,2018,2
68,"Collaborator 82","","Collaborator",NA,2021,1
69,"Collaborator 83","","Collaborator",NA,2021,1
70,"Collaborator 18","","Collaborator",NA,2019,1
71,"Collaborator 84","","Collaborator",NA,2021,1
72,"Collaborator 85","","Collaborator",NA,2021,1
78,"Collaborator 39","","Collaborator",NA,2020,1
80,"Doctoral Fellow 11","","Doctoral Fellow","2019",2021,1
81,"Collaborator 19","","Collaborator",NA,2019,1
82,"Collaborator 40","","Collaborator",NA,2020,1
85,"Collaborator 5","","Collaborator",NA,2018,1
86,"Collaborator 86","","Collaborator",NA,2021,2
88,"Faculty 12","Faculty 12","Faculty",NA,2020,3
93,"Doctoral Fellow 3","Doctoral Fellow 3","Doctoral Fellow","2019",2019,1
96,"Doctoral Fellow 9","","Doctoral Fellow","2018",2020,1
99,"Collaborator 87","","Collaborator",NA,2021,1
100,"Collaborator 88","","Collaborator",NA,2021,1
103,"Collaborator 41","","Collaborator",NA,2020,1
104,"Collaborator 89","","Collaborator",NA,2021,1
105,"Collaborator 90","","Collaborator",NA,2021,1
108,"Collaborator 91","","Collaborator",NA,2021,1
109,"Collaborator 42","","Collaborator",NA,2020,1
110,"Affiliate Student 6","","Affiliate Student","2019",2020,1
111,"Faculty 7","Faculty 7","Faculty",NA,2019,3
112,"Collaborator 92","","Collaborator",NA,2021,1
113,"Collaborator 6","","Collaborator",NA,2018,1
115,"Collaborator 43","","Collaborator",NA,2020,1
119,"Collaborator 20","","Collaborator",NA,2019,1
120,"Collaborator 21","","Collaborator",NA,2019,1
122,"Doctoral Fellow 4","","Doctoral Fellow","2017",2019,1
125,"Faculty 3","Faculty 3","Faculty",NA,2018,5
126,"Collaborator 44","","Collaborator",NA,2020,3
128,"Doctoral Fellow 5","Doctoral Fellow 5","Doctoral Fellow","2019",2019,3
129,"Collaborator 93","","Collaborator",NA,2021,1
130,"Faculty 8","","Faculty",NA,2019,2
131,"Affiliate Student 7","","Affiliate Student","2020",2021,2
132,"Collaborator 45","","Collaborator",NA,2020,1
134,"Faculty 9","","Faculty",NA,2019,2
135,"Collaborator 94","","Collaborator",NA,2021,1
136,"Collaborator 46","","Collaborator",NA,2020,1
138,"Collaborator 22","","Collaborator",NA,2019,1
139,"Collaborator 23","","Collaborator",NA,2019,1
140,"Collaborator 47","","Collaborator",NA,2020,1
142,"Collaborator 95","","Collaborator",NA,2021,1
143,"Faculty 13","","Faculty",NA,2020,1
144,"Collaborator 48","","Collaborator",NA,2020,1
146,"Collaborator 24","","Collaborator",NA,2019,1
147,"Collaborator 96","","Collaborator",NA,2021,1
149,"Collaborator 97","","Collaborator",NA,2021,1
151,"Collaborator 98","","Collaborator",NA,2021,1
152,"Faculty 10","","Faculty",NA,2019,1
153,"Collaborator 49","","Collaborator",NA,2020,1
154,"Collaborator 99","","Collaborator",NA,2021,2
155,"Doctoral Fellow 12","Doctoral Fellow 12","Doctoral Fellow","2020",2021,1
156,"Faculty 14","","Faculty",NA,2020,1
157,"Collaborator 50","","Collaborator",NA,2020,1
160,"Collaborator 100","","Collaborator",NA,2021,1
162,"Collaborator 101","","Collaborator",NA,2021,1
163,"Faculty 4","Faculty 4","Faculty",NA,2018,7
166,"Collaborator 51","","Collaborator",NA,2020,1
