"Name","Label","Label2","Group","Cohort","First_year","Pubs"
167,"Collaborator 52","","Collaborator",NA,2020,1
168,"Collaborator 7","","Collaborator",NA,2018,1
171,"Collaborator 53","","Collaborator",NA,2020,1
175,"Collaborator 102","","Collaborator",NA,2021,1
179,"Faculty 17","","Faculty",NA,2021,1
180,"Collaborator 8","","Collaborator",NA,2018,1
181,"Collaborator 54","","Collaborator",NA,2020,1
183,"Collaborator 55","","Collaborator",NA,2020,1
184,"Collaborator 56","","Collaborator",NA,2020,1
185,"Collaborator 103","","Collaborator",NA,2021,1
187,"Collaborator 57","","Collaborator",NA,2020,1
188,"Collaborator 104","","Collaborator",NA,2021,1
189,"Collaborator 105","","Collaborator",NA,2021,1
190,"Collaborator 9","","Collaborator",NA,2018,1
192,"Collaborator 10","","Collaborator",NA,2018,1
193,"Faculty 15","Faculty 15","Faculty",NA,2020,3
194,"Collaborator 58","","Collaborator",NA,2020,3
195,"Collaborator 11","","Collaborator",NA,2018,1
198,"Collaborator 59","","Collaborator",NA,2020,1
199,"Collaborator 60","","Collaborator",NA,2020,1
201,"Collaborator 25","","Collaborator",NA,2019,1
203,"Collaborator 106","","Collaborator",NA,2021,1
204,"Collaborator 26","","Collaborator",NA,2019,2
205,"Collaborator 61","","Collaborator",NA,2020,2
206,"Collaborator 107","","Collaborator",NA,2021,3
207,"Collaborator 108","","Collaborator",NA,2021,1
208,"Collaborator 12","","Collaborator",NA,2018,1
209,"Doctoral Fellow 13","","Doctoral Fellow","2019",2021,2
211,"Collaborator 13","","Collaborator",NA,2018,1
214,"Doctoral Fellow 10","Doctoral Fellow 10","Doctoral Fellow","2018",2020,5
215,"Collaborator 14","","Collaborator",NA,2018,1
217,"Collaborator 109","","Collaborator",NA,2021,1
219,"Collaborator 62","","Collaborator",NA,2020,1
220,"Doctoral Fellow 2","","Doctoral Fellow","2021",2018,2
221,"Collaborator 27","","Collaborator",NA,2019,1
223,"Collaborator 63","","Collaborator",NA,2020,1
224,"Collaborator 110","","Collaborator",NA,2021,1
225,"Collaborator 64","","Collaborator",NA,2020,1
226,"Collaborator 65","","Collaborator",NA,2020,1
227,"Doctoral Fellow 6","Doctoral Fellow 6","Doctoral Fellow","2018",2019,4
228,"Affiliate Student 3","Affiliate Student 3","Affiliate Student","2018",2018,5
230,"Collaborator 66","","Collaborator",NA,2020,1
231,"Collaborator 67","","Collaborator",NA,2020,1
232,"Doctoral Fellow 14","","Doctoral Fellow","2020",2021,1
233,"Collaborator 68","","Collaborator",NA,2020,1
234,"Collaborator 69","","Collaborator",NA,2020,1
235,"Collaborator 111","","Collaborator",NA,2021,1
236,"Collaborator 15","","Collaborator",NA,2018,1
237,"Collaborator 28","","Collaborator",NA,2019,1
