Id,Label,x,y
150,Collaborator 155,551.653687,523.999207
151,Collaborator 98,-133.773697,510.03244
152,Faculty 10,253.693176,331.317535
153,Collaborator 49,387.48761,-524.272949
154,Collaborator 99,119.95636,661.911133
155,Doctoral Fellow 12,326.415619,-167.27301
156,Faculty 14,378.113708,-268.047546
157,Collaborator 50,-690.009033,115.931953
158,Faculty 20,492.458374,540.955017
159,Doctoral Fellow 18,556.968628,548.986572
160,Collaborator 100,-223.438812,404.152771
161,Collaborator 137,-611.29657,-491.181061
162,Collaborator 101,-65.501671,-672.29364
163,Faculty 4,-525.031677,26.875471
164,Faculty 21,-216.227478,517.999451
165,Collaborator 138,551.231934,-334.894318
166,Collaborator 51,431.84314,-402.107544
167,Collaborator 52,-592.800415,467.035553
168,Collaborator 7,-273.090332,-133.336578
169,Collaborator 156,-511.478546,110.00473
170,Collaborator 184,-322.136536,-576.684814
171,Collaborator 53,-614.309143,475.381531
172,Collaborator 157,339.866364,-317.681946
173,Collaborator 158,322.024811,-321.777832
174,Collaborator 139,-619.230591,-479.365234
175,Collaborator 102,-206.420319,38.74057
176,Collaborator 159,341.424591,-267.431488
177,Collaborator 140,-192.397247,348.137451
178,Collaborator 141,267.352661,13.061959
179,Faculty 17,1.634974,498.259735
180,Collaborator 8,217.982254,528.125854
181,Collaborator 54,-720.002747,63.924587
182,Faculty 24,543.792358,207.565109
183,Collaborator 55,-728.76709,122.845375
184,Collaborator 56,545.220703,-233.781555
185,Collaborator 103,-393.141205,24.013107
186,Collaborator 185,-328.691284,-499.197754
187,Collaborator 57,-343.556793,649.844238
188,Collaborator 104,-249.561188,69.15995
189,Collaborator 105,-444.131744,-96.601089
190,Collaborator 9,-278.174133,632.199097
191,Collaborator 142,-593.137939,-492.113953
192,Collaborator 10,-495.345825,309.466461
193,Faculty 15,292.137543,-255.779968
194,Collaborator 58,435.439972,-464.31308
195,Collaborator 11,-271.176544,-119.794106
196,Collaborator 160,328.858459,95.827499
197,Collaborator 143,604.215149,-346.898712
198,Collaborator 59,-178.160431,-51.681698
199,Collaborator 60,-576.632935,462.034973
200,Collaborator 186,-550.057007,-121.136024
201,Collaborator 25,225.17424,411.405548
202,Doctoral Fellow 17,163.364227,-205.29068
203,Collaborator 106,-544.351257,-387.891602
204,Collaborator 26,577.804443,-170.097
205,Collaborator 61,447.686676,165.016403
206,Collaborator 107,161.565842,668.94873
207,Collaborator 108,-194.905472,35.383446
208,Collaborator 12,-258.962402,-129.988602
209,Doctoral Fellow 13,151.209213,704.17749
210,Collaborator 187,-346.054199,-562.668091
211,Collaborator 13,-201.239914,-126.662735
212,Collaborator 161,-416.458984,224.638046
213,Collaborator 188,-568.508728,-111.307945
214,Doctoral Fellow 10,430.796051,-319.051483
215,Collaborator 14,209.272614,546.76886
216,Collaborator 144,-211.144257,362.985596
217,Collaborator 109,465.65451,250.985352
218,Collaborator 162,-420.929688,237.259918
219,Collaborator 62,-761.524597,120.587334
220,Doctoral Fellow 2,-509.590088,-47.594067
221,Collaborator 27,-75.618378,-522.312073
222,Collaborator 189,468.387695,-105.953896
223,Collaborator 63,362.065247,-553.309814
224,Collaborator 110,-225.60965,470.865936
225,Collaborator 64,-442.951843,124.35714
226,Collaborator 65,-750.741272,148.690079
227,Doctoral Fellow 6,-160.124207,469.324188
228,Affiliate Student 3,147.018829,510.911072
229,Collaborator 190,-340.088776,-530.936157
230,Collaborator 66,-327.180939,643.682861
231,Collaborator 67,-753.586914,66.471039
232,Doctoral Fellow 14,-589.630737,-441.455475
233,Collaborator 68,-708.636719,150.940521
234,Collaborator 69,-768.624451,92.009087
235,Collaborator 111,-137.286514,534.138062
236,Collaborator 15,-210.693634,-140.370712
237,Collaborator 28,-478.168457,-117.167458
238,Collaborator 163,-472.413666,230.807037
