"Id","Label","Group","Cohort","First_year","Pubs","Cum_Pubs_2018","Cum_Pubs_2019","Cum_Pubs_2020","Cum_Pubs_2021","Cum_Pubs_2022","Cum_Pubs_2023","Cum_Pubs_2024"
212,"Collaborator 187","Collaborator",NA,2024,1,0,0,0,0,0,0,1
213,"Collaborator 13","Collaborator",NA,2018,1,1,1,1,1,1,1,1
214,"Collaborator 162","Collaborator",NA,2023,1,0,0,0,0,0,1,1
215,"Collaborator 188","Collaborator",NA,2024,1,0,0,0,0,0,0,1
216,"Doctoral Fellow 10","Doctoral Fellow","2018",2020,17,0,0,4,5,11,16,17
217,"Collaborator 14","Collaborator",NA,2018,1,1,1,1,1,1,1,1
218,"Collaborator 144","Collaborator",NA,2022,1,0,0,0,0,1,1,1
219,"Collaborator 109","Collaborator",NA,2021,2,0,0,0,1,1,2,2
220,"Collaborator 163","Collaborator",NA,2023,1,0,0,0,0,0,1,1
221,"Collaborator 62","Collaborator",NA,2020,1,0,0,1,1,1,1,1
222,"Doctoral Fellow 2","Doctoral Fellow","2021",2018,2,1,1,1,2,2,2,2
223,"Collaborator 28","Collaborator",NA,2019,1,0,1,1,1,1,1,1
224,"Collaborator 189","Collaborator",NA,2024,1,0,0,0,0,0,0,1
225,"Collaborator 63","Collaborator",NA,2020,1,0,0,1,1,1,1,1
226,"Collaborator 110","Collaborator",NA,2021,1,0,0,0,1,1,1,1
227,"Collaborator 64","Collaborator",NA,2020,1,0,0,1,1,1,1,1
228,"Collaborator 65","Collaborator",NA,2020,1,0,0,1,1,1,1,1
229,"Doctoral Fellow 6","Doctoral Fellow","2018",2019,6,0,1,1,4,6,6,6
230,"Affiliate Student 3","Affiliate Student","2018",2018,5,1,2,2,5,5,5,5
231,"Collaborator 190","Collaborator",NA,2024,1,0,0,0,0,0,0,1
232,"Collaborator 66","Collaborator",NA,2020,1,0,0,1,1,1,1,1
233,"Collaborator 67","Collaborator",NA,2020,1,0,0,1,1,1,1,1
234,"Doctoral Fellow 14","Doctoral Fellow","2020",2021,2,0,0,0,1,2,2,2
235,"Collaborator 68","Collaborator",NA,2020,1,0,0,1,1,1,1,1
236,"Collaborator 69","Collaborator",NA,2020,1,0,0,1,1,1,1,1
237,"Collaborator 111","Collaborator",NA,2021,1,0,0,0,1,1,1,1
238,"Collaborator 15","Collaborator",NA,2018,1,1,1,1,1,1,1,1
