"Source","Target","From","To","Group","Weight","Weight_2018","Weight_2019","Weight_2020","Weight_2021","Weight_2022","Weight_2023","Weight_2024"
0,4,0,4,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,43,0,43,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,61,0,61,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,110,0,110,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,127,0,127,"Collaborator-Collaborator",2,0,0,2,2,2,2,2
0,133,0,133,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,142,0,142,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,145,0,145,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,154,0,154,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
0,196,0,196,"Collaborator-Collaborator",2,0,0,2,2,2,2,2
0,216,0,216,"Doctoral Fellow-Collaborator",2,0,0,2,2,2,2,2
0,225,0,225,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
1,2,1,2,"Faculty-Collaborator",1,0,0,0,0,0,0,1
1,62,1,62,"Faculty-Faculty",1,0,0,0,0,0,0,1
1,65,1,65,"Faculty-Collaborator",1,0,1,1,1,1,1,1
1,94,1,94,"Faculty-Doctoral Fellow",1,0,1,1,1,1,1,1
1,120,1,120,"Faculty-Collaborator",1,0,1,1,1,1,1,1
1,140,1,140,"Faculty-Collaborator",1,0,1,1,1,1,1,1
1,141,1,141,"Faculty-Collaborator",1,0,1,1,1,1,1,1
1,147,1,147,"Faculty-Collaborator",1,0,1,1,1,1,1,1
1,153,1,153,"Faculty-Faculty",1,0,1,1,1,1,1,1
1,202,1,202,"Faculty-Collaborator",1,0,1,1,1,1,1,1
1,230,1,230,"Faculty-Affiliate Student",1,0,1,1,1,1,1,1
2,62,2,62,"Faculty-Collaborator",1,0,0,0,0,0,0,1
3,15,3,15,"Faculty-Collaborator",1,0,0,0,0,0,0,1
3,64,3,64,"Collaborator-Collaborator",1,0,0,0,0,0,0,1
3,80,3,80,"Collaborator-Collaborator",1,0,0,0,0,0,0,1
3,134,3,134,"Collaborator-Collaborator",1,0,0,0,0,0,0,1
3,139,3,139,"Collaborator-Collaborator",1,0,0,0,0,0,0,1
3,156,3,156,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1
3,216,3,216,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1
3,224,3,224,"Collaborator-Collaborator",1,0,0,0,0,0,0,1
4,43,4,43,"Collaborator-Collaborator",1,0,0,1,1,1,1,1
