"Gender","Fall 2015-2017","Fall 2018","Fall 2019","Fall 2020","Spring 2020","Fall 2021","Total"
"Male",4,5,4,5,0,3,21
"Female",1,3,4,4,1,1,14
"Total",5,8,8,9,1,4,35
